N	2gram	Voloshinov	UchenyiS
1	и в	42	14
2	не только	28	10
3	а не	7	10
4	и не	14	8
5	прежде всего	22	8
6	то что	9	7
7	не может	13	7
8	в этом	10	7
9	может быть	13	6
10	то же	16	5
11	художественного творчества	5	5
12	хотя бы	18	5
13	все это	4	5
14	но и	16	4
15	в этой	6	4
16	что такое	4	4
17	в их	2	4
18	конечно не	3	4
19	у нас	4	3
20	в частности	3	3
21	для этого	2	3
22	и т.д	21	3
23	это не	3	3
24	вряд ли	3	3
25	очевидно что	2	3
26	и то	5	3
27	в своей	2	3
28	все же	9	3
29	как и	12	3
30	в то	9	3
31	но в	5	3
32	же время	7	3
33	было бы	7	3
34	в области	6	3
35	для него	3	3
36	в самом	5	2
37	в себе	10	2
38	что мы	11	2
39	о чем	2	2
40	на эту	2	2
41	же самое	5	2
42	что он	2	2
43	таким образом	8	2
44	но не	2	2
45	и для	3	2
46	если бы	4	2
47	между тем	3	2
48	самом деле	5	2
49	только в	7	2
50	и является	5	2
51	не есть	2	2
52	ничего не	8	2
53	даже и	2	2
54	и с	5	2
55	должна была	2	2
56	тех или	4	2
57	что и	3	2
58	или иных	3	2
59	вопроса о	4	2
60	на первый	2	2
61	но даже	2	2
62	смысле этого	2	2
63	сих пор	2	2
64	тем что	2	2
65	том что	3	2
66	материал для	2	2
67	в его	6	2
68	в том	3	2
69	этом отношении	2	2
70	как таковой	3	2
71	если не	3	2
72	с его	8	2
73	конце концов	3	2
74	его и	3	2
75	но это	2	2
76	для всех	2	2
77	не в	6	2
78	бы и	2	2
79	в конце	6	2
80	мы не	9	2
