N	2gram	Vinokur_St	Tvorches
1	и в	61	56
2	как бы	8	41
3	в его	19	37
4	в романе	4	34
5	в то	10	30
6	то же	7	25
7	не только	36	24
8	но в	16	24
9	в году	3	24
10	же время	5	24
11	то есть	2	23
12	и его	11	23
13	и не	23	23
14	а в	18	23
15	как и	11	23
16	и т	36	22
17	в этом	37	22
18	в том	56	21
19	что в	41	21
20	том что	49	19
21	он не	11	19
22	может быть	16	19
23	потому что	13	19
24	у него	3	18
25	то что	27	18
26	что он	23	17
27	все это	13	17
28	т д	25	17
29	и на	7	17
30	таким образом	16	17
31	никогда не	7	16
32	прежде всего	11	16
33	как в	15	16
34	при этом	4	16
35	не может	10	16
36	но и	28	16
37	xix века	2	15
38	в этой	13	15
39	с его	3	15
40	но это	9	15
41	и с	6	15
42	это не	8	14
43	и даже	8	14
44	о том	30	13
45	а не	19	13
46	тем самым	2	12
47	в целом	5	12
48	в котором	11	12
49	все же	12	11
50	в своей	12	11
51	для него	10	11
52	в конце	5	10
53	не в	15	10
54	так и	15	10
55	уже в	3	10
56	в русской	4	10
57	представление о	5	10
58	но не	5	10
59	в самом	14	10
60	только в	11	10
61	как будто	5	10
62	в нем	9	9
63	и от	2	9
64	по мнению	4	9
65	в своих	2	9
66	во многом	3	9
67	первой части	2	9
68	даже в	5	8
69	так же	7	8
70	в себе	3	8
71	в духе	2	8
72	в их	3	8
73	одной из	4	8
74	не менее	8	8
75	на его	2	8
76	так как	7	8
77	вовсе не	24	8
78	к этому	4	8
79	об этом	9	8
80	еще не	4	8
81	одним из	2	8
82	именно в	8	8
83	хотя и	4	8
84	вместе с	5	8
85	самом деле	14	7
86	своего рода	7	7
87	в чем	4	7
88	например в	8	7
89	и он	2	7
90	что она	5	7
91	в которой	13	7
92	в этих	5	7
93	года в	3	7
94	и сам	4	7
95	его в	4	6
96	ли не	2	6
97	так что	8	6
98	и все	3	6
99	на эту	5	6
100	место в	2	6
101	не столько	6	6
102	все эти	7	6
103	хотя бы	8	6
104	и как	2	6
105	если бы	11	6
106	еще более	5	6
107	а потому	2	6
108	бы не	2	5
109	начиная с	2	5
110	ничего не	6	5
111	до конца	4	5
112	не имеют	2	5
113	в одной	3	5
114	по отношению	3	5
115	но если	5	5
116	и у	2	5
117	том же	3	5
118	как он	3	5
119	в виде	3	5
120	т п	11	5
121	в образе	3	5
