N	3gram	Bakhtin_Fr	Tvorches
1	в то же	13	25
2	то же время	13	24
3	в том что	2	11
4	о том что	3	8
5	и в то	2	7
6	но в то	7	6
7	не может быть	2	6
8	по отношению к	2	5
9	в том же	3	5
10	с точки зрения	4	4
11	до сих пор	6	4
12	дело в том	2	4
13	в xix веке	3	4
14	как и в	2	3
15	с другой стороны	5	3
16	во всяком случае	2	3
17	в ту эпоху	8	3
18	в отличие от	3	3
19	на самом деле	5	2
20	не только в	3	2
21	на протяжении всего	2	2
22	для того чтобы	5	2
23	можно сказать что	2	2
24	мы уже говорили	5	2
25	в связи с	5	2
26	том числе и	3	2
27	в его произведениях	2	2
28	в конце концов	3	2
29	в данном случае	3	2
30	в том числе	4	2
31	только то что	2	2
32	в свою очередь	2	2
33	таким образом и	2	2
