N	2gram	Kanaev_Sov	Problemy
1	и в	7	106
2	и не	6	90
3	как бы	4	70
4	может быть	12	66
5	в его	2	56
6	в этом	7	52
7	в нем	3	51
8	не может	17	49
9	как и	6	44
10	точки зрения	12	40
11	а не	3	38
12	не только	4	36
13	то же	3	36
14	но в	3	33
15	прежде всего	5	32
16	все это	3	29
17	и все	3	28
18	не в	3	27
19	в одном	3	27
20	с точки	5	25
21	в самом	2	25
22	самом деле	2	24
23	таким образом	11	22
24	в каждом	8	22
25	как мы	2	21
26	все же	3	20
27	что в	2	19
28	что же	5	19
29	в себе	3	18
30	все эти	5	18
31	уже не	2	18
32	еще не	3	18
33	это не	4	17
34	в том	4	17
35	а в	4	17
36	и к	3	17
37	и наконец	5	15
38	у него	2	15
39	так как	4	14
40	в конце	3	14
41	в целом	4	13
42	но все	2	13
43	ничего не	6	12
44	при этом	3	12
45	было бы	3	12
46	во всяком	2	12
47	так сказать	2	12
48	и даже	2	12
49	и что	2	12
50	не могут	2	11
51	их в	4	11
52	самого начала	3	10
53	приводит к	2	10
54	той же	2	10
55	и потому	3	9
56	с самого	3	9
57	могут быть	2	9
58	друг с	2	9
59	из одного	2	9
60	всяком случае	2	9
61	мы должны	4	8
62	уже в	3	8
63	что это	2	8
64	в результате	6	8
65	с другом	2	8
66	из них	4	8
67	вопрос о	4	7
68	в виде	2	7
69	точку зрения	4	7
70	он в	3	7
71	что все	2	7
72	то ни	2	7
73	тот же	2	7
74	что она	3	7
75	отличается от	3	7
76	такой же	2	7
77	на этот	2	7
78	если же	2	7
79	все те	2	6
80	как он	3	6
81	отличие от	2	6
82	не менее	2	6
83	на его	2	6
84	и во	2	6
85	одна из	3	6
86	с этим	2	6
87	зависимости от	4	6
88	в отличие	2	6
89	и пр	2	6
90	для его	2	6
91	в этой	3	6
92	он может	3	6
93	на этом	2	6
94	жизни и	4	6
95	или иной	2	5
96	ведь это	3	5
97	со всеми	2	5
98	в зависимости	4	5
99	мы не	9	5
100	совершенно не	2	5
101	нет и	4	5
102	быть и	2	5
103	вместе с	4	5
104	тем не	2	4
105	конечно в	2	4
106	он должен	2	4
107	из которых	2	4
108	мы видели	4	4
109	на котором	2	4
110	в первом	3	4
111	то и	2	4
112	в которой	2	4
113	времени и	2	4
114	только так	2	4
115	что такое	2	4
116	еще более	2	4
117	в настоящее	2	3
118	к чему	2	3
119	мы знаем	2	3
120	настоящее время	2	3
121	между собой	3	3
122	и по	2	3
123	всех элементов	3	3
124	мы видим	2	3
125	и мы	3	3
126	из этих	2	3
127	говорить о	2	3
128	значение в	2	3
129	и есть	2	3
130	у нас	3	3
131	мы можем	6	3
132	если мы	4	3
133	которой он	2	3
134	в один	2	3
135	в таком	2	3
136	не дает	2	3
137	тем же	2	3
138	она может	2	2
139	у каждого	3	2
140	он приводит	2	2
141	или же	2	2
142	свою очередь	2	2
143	мы с	2	2
144	теперь же	2	2
145	же мы	2	2
146	этих двух	2	2
147	отнюдь не	3	2
148	каждая из	2	2
149	же это	4	2
150	ее на	2	2
151	пока наконец	2	2
152	в условиях	5	2
153	для нас	3	2
154	основной вопрос	3	2
155	с одной	2	2
156	само собою	3	2
157	в нашем	2	2
158	и они	2	2
159	в свою	2	2
160	роль в	2	2
161	и именно	2	2
162	же самое	2	2
163	на их	2	2
164	с помощью	4	2
