N	3gram	Potebnia_M	Russkaja
1	то же время	8	10
2	в то же	8	10
3	с точки зрения	2	9
4	в том что	22	7
5	для того чтобы	5	6
6	во всяком случае	3	6
7	на самом деле	4	6
8	до сих пор	4	5
9	а между тем	6	5
10	на то что	3	4
11	в том случае	2	4
12	более или менее	6	4
13	не может быть	7	4
14	вместе с тем	5	3
15	в этом случае	2	3
16	в данном случае	3	3
17	и то что	3	3
18	к тому что	3	2
19	что он не	3	2
20	и в том	3	2
21	в большинстве случаев	2	2
22	это потому что	2	2
23	только в том	5	2
24	о том что	5	2
25	сама по себе	3	2
26	друг от друга	2	2
