N	3gram	Propp_Morf	Narrotol
1	в том что	4	18
2	в данном случае	2	17
3	по отношению к	7	11
4	о том что	3	9
5	тем не менее	6	8
6	в этом отношении	2	8
7	не может быть	9	8
8	с одной стороны	2	6
9	состоит в том	3	6
10	на самом деле	4	5
11	подобно тому как	5	5
12	для того чтобы	3	5
13	к тому что	4	4
14	во всяком случае	2	4
15	в первом случае	3	3
16	точно так же	2	3
17	в связи с	9	3
18	с точки зрения	6	3
19	а также и	5	3
20	на то что	3	3
21	друг на друга	2	3
22	но все же	4	2
23	не входит в	2	2
24	более или менее	2	2
25	хотя и не	2	2
26	можно было бы	2	2
27	что иное как	2	2
28	на первый взгляд	3	2
