N	2gram	Losev_Dial	VrazhdaK
1	не только	26	9
2	и что	17	8
3	в этом	18	8
4	и в	35	8
5	что в	19	7
6	но и	17	7
7	и все	11	7
8	то что	25	7
9	но в	8	6
10	как и	10	6
11	– это	14	6
12	в котором	5	6
13	в нем	25	6
14	и с	10	6
15	все же	9	6
16	и даже	23	6
17	и не	51	5
18	не было	7	5
19	об этом	7	5
20	то же	21	5
21	в то	10	5
22	же время	9	5
23	у него	2	5
24	между тем	3	5
25	уже в	5	4
26	несмотря на	12	4
27	это не	18	4
28	в виду	9	4
29	все это	14	4
30	при этом	2	4
31	о том	8	4
32	в ней	4	4
33	как бы	19	4
34	так же	6	4
35	что он	16	4
36	с ним	9	4
37	может быть	30	4
38	т е	49	3
39	и у	2	3
40	в том	20	3
41	в чем	9	3
42	его в	3	3
43	далеко не	2	3
44	что у	3	3
45	и уже	4	3
46	в своем	7	3
47	том что	18	3
48	в его	4	3
49	в связи	3	3
50	и о	4	3
51	раз в	2	3
52	и его	6	3
53	и как	14	3
54	он не	5	3
55	речь идет	2	3
56	связи с	3	3
57	к этому	2	3
58	но он	3	3
59	на то	5	3
60	я не	9	3
61	что есть	2	3
62	в конце	5	3
63	тем что	2	3
64	никогда не	18	2
65	в одну	8	2
66	же не	4	2
67	с нею	3	2
68	и то	15	2
69	в них	4	2
70	уже не	3	2
71	в мире	3	2
72	к ним	3	2
73	в него	2	2
74	в той	4	2
75	для него	2	2
76	и это	6	2
77	на первый	2	2
78	с точки	18	2
79	как же	8	2
80	а в	8	2
81	он сам	6	2
82	в этой	3	2
83	его с	6	2
84	в своей	9	2
85	как раз	7	2
86	мне и	2	2
87	же в	2	2
88	но как	7	2
89	и он	6	2
90	в себе	23	2
91	еще не	4	2
92	точки зрения	25	2
93	о чем	4	2
94	же как	3	2
95	тем более	2	2
96	после этого	3	2
97	таким образом	5	2
98	во время	2	2
99	что я	5	2
100	отношения к	3	2
101	время и	2	2
102	их в	2	2
103	не может	16	2
104	и образы	2	2
105	из них	5	2
106	не менее	5	2
107	но это	12	2
108	об этой	2	2
109	ко мне	2	2
110	с которым	2	2
111	в меня	2	2
112	отнюдь не	13	2
113	а с	2	2
114	вместе с	3	2
115	отношение к	5	2
