N	2gram	Tiupa_Hudo	UchenyiS
1	и в	23	14
2	не только	20	10
3	а не	13	10
4	и не	16	8
5	прежде всего	5	8
6	то что	5	7
7	не может	9	7
8	в этом	12	7
9	эстетического объекта	4	6
10	в искусстве	9	6
11	может быть	19	6
12	то же	12	5
13	художественного творчества	6	5
14	все это	2	5
15	в художественном	5	5
16	художественное произведение	3	5
17	в конечном	5	4
18	но и	14	4
19	в этой	2	4
20	конечном счете	5	4
21	что такое	2	4
22	с другой	9	4
23	в их	5	4
24	в частности	18	3
25	истории литературы	2	3
26	и т.д	4	3
27	не следует	4	3
28	это не	4	3
29	и то	4	3
30	в своей	7	3
31	не как	2	3
32	как и	3	3
33	в то	8	3
34	но в	10	3
35	же время	7	3
36	произведения искусства	4	3
37	ни было	2	3
38	в области	8	3
39	бы то	2	3
40	то ни	2	3
41	другой стороны	6	3
42	для него	5	3
43	в самом	7	2
44	в себе	13	2
45	о чем	3	2
46	что он	5	2
47	к области	3	2
48	таким образом	3	2
49	но не	13	2
50	и для	3	2
51	если бы	3	2
52	противном случае	2	2
53	не все	2	2
54	между тем	4	2
55	самом деле	2	2
56	только в	7	2
57	одним из	2	2
58	этом смысле	3	2
59	что она	2	2
60	не случайно	3	2
61	тех или	2	2
62	что и	2	2
63	искусства как	3	2
64	или иных	2	2
65	могут быть	5	2
66	превращается в	2	2
67	по себе	2	2
68	том что	9	2
69	в сторону	2	2
70	в его	11	2
71	сводится к	11	2
72	в том	20	2
73	этого термина	2	2
74	художественного произведения	4	2
75	с его	6	2
76	как раз	3	2
77	в противном	2	2
78	не в	9	2
79	в системе	3	2
80	говоря иначе	2	2
81	в итоге	2	2
82	не столько	7	2
