N	2gram	Berdyaev_M	EvropaiC
1	в том	9	31
2	и в	61	24
3	том что	7	20
4	все эти	3	19
5	не может	39	18
6	то что	10	18
7	может быть	42	17
8	до сих	5	15
9	все же	2	15
10	сих пор	5	15
11	точки зрения	6	14
12	в этом	34	13
13	все это	6	13
14	в своем	17	12
15	с этим	4	12
16	самом деле	2	12
17	между тем	2	12
18	по отношению	4	11
19	но и	34	11
20	отношению к	4	11
21	культуры и	2	11
22	не только	42	10
23	так и	5	10
24	во всех	3	10
25	как и	14	10
26	все что	5	10
27	как бы	10	10
28	из себя	2	10
29	и не	26	9
30	не в	16	9
31	что в	12	9
32	и все	13	9
33	потому что	25	9
34	и что	4	9
35	так же	5	8
36	если бы	5	8
37	чем у	8	8
38	для того	4	8
39	к тому	6	8
40	в самом	15	8
41	того чтобы	4	8
42	на самом	2	7
43	для этого	3	7
44	так как	10	7
45	по своей	4	7
46	что он	16	7
47	того что	13	7
48	о том	5	7
49	что и	6	7
50	в этой	12	7
51	вместе с	7	7
52	в мире	12	6
53	в европе	2	6
54	отличается от	2	6
55	только в	7	6
56	у них	4	6
57	так что	3	6
58	в то	2	6
59	должна быть	7	6
60	и для	7	6
61	и на	9	6
62	с ним	5	6
63	и от	3	5
64	его в	6	5
65	по сравнению	3	5
66	в себе	12	5
67	должно быть	5	5
68	к этому	3	5
69	оказывается что	2	5
70	в которой	8	5
71	как к	2	5
72	лишь в	8	5
73	на все	3	5
74	и их	3	5
75	что это	5	5
76	по своему	3	5
77	у него	38	5
78	что все	5	5
79	но в	12	5
80	и без	2	5
81	и с	6	5
82	и к	9	5
83	не будет	3	5
84	в его	10	5
85	как будто	4	5
86	сравнению с	2	5
87	его собственной	2	5
88	быть и	2	5
89	никогда не	30	4
90	и то	2	4
91	самого себя	6	4
92	в такой	4	4
93	не могут	6	4
94	хотя бы	8	4
95	в конце	11	4
96	отношение к	9	4
97	и у	3	4
98	целый ряд	2	4
99	конце концов	3	4
100	ее и	2	4
101	та же	4	4
102	то же	4	4
103	в их	4	4
104	одним из	2	4
105	с тем	10	4
106	не так	6	4
107	не есть	21	4
108	он не	34	4
109	это есть	4	4
110	хотя и	2	4
111	вопрос о	7	3
112	это не	10	3
113	и потому	17	3
114	к которой	4	3
115	от него	4	3
116	на земле	7	3
117	в начале	2	3
118	бы в	3	3
119	которые не	2	3
120	от того	4	3
121	а лишь	3	3
122	с этой	4	3
123	в этих	6	3
124	конечно не	3	3
125	и других	2	3
126	как у	2	3
127	во имя	26	3
128	не надо	2	3
129	у нас	13	3
130	прежде всего	18	3
131	жизнь и	5	3
132	в разных	3	3
133	одно из	3	3
134	в жизни	7	3
135	но не	8	3
136	и это	16	3
137	а в	4	3
138	на почве	3	3
139	в нем	26	3
140	в ней	23	3
141	тогда когда	2	3
142	ко всем	3	3
143	для нас	3	3
144	же не	2	3
145	может не	3	3
146	должны быть	3	3
147	было бы	11	3
148	и по	4	3
149	в истории	2	3
150	только одно	3	3
151	во всем	5	3
152	в нашем	2	3
153	как для	2	3
154	чем в	3	3
155	нет в	5	2
156	не от	3	2
157	то в	2	2
158	из этой	2	2
159	а к	2	2
160	и ее	2	2
161	есть только	2	2
162	этот процесс	5	2
163	не потому	2	2
164	то время	2	2
165	и поэтому	3	2
166	свои силы	3	2
167	что она	5	2
168	этими двумя	2	2
169	высшей степени	4	2
170	то есть	3	2
171	но если	4	2
172	потому и	2	2
173	друг друга	12	2
174	должен быть	4	2
175	к тем	2	2
176	не будут	2	2
177	в виду	2	2
178	не было	25	2
179	на путь	2	2
180	он должен	4	2
181	что они	4	2
182	тем как	2	2
183	одной и	2	2
184	а для	2	2
185	никто не	3	2
186	не знает	12	2
187	в высшей	4	2
188	для него	28	2
189	есть в	3	2
190	он считает	2	2
191	не имеет	7	2
192	также и	6	2
193	что у	3	2
194	тому что	2	2
195	к нему	8	2
196	она не	9	2
197	на том	3	2
198	они не	4	2
199	в самой	8	2
200	в котором	9	2
201	все его	3	2
202	те же	5	2
203	и там	10	2
204	в своих	4	2
205	в свою	5	2
206	к другу	6	2
207	в которых	5	2
208	но для	2	2
209	но на	2	2
210	на этом	5	2
211	и те	4	2
212	если он	7	2
213	что за	2	2
214	в них	5	2
215	можно ли	2	2
216	со своей	2	2
217	ко всему	2	2
218	что же	2	2
219	же что	2	2
220	жизни и	6	2
221	друг к	6	2
222	от своей	2	2
223	от нее	5	2
224	считает себя	3	2
225	ответить на	2	2
226	себя и	6	2
227	и его	13	2
228	в сущности	2	2
229	каждого человека	3	2
230	заключает в	3	2
231	и более	2	2
232	но с	2	2
233	которую он	2	2
234	только один	3	2
235	той же	3	2
236	все в	7	2
237	я не	4	2
238	в основе	4	2
