N	2gram	Medvedev_S	FransuaR
1	и в	3	367
2	в этом	5	112
3	таким образом	2	100
4	в его	3	98
5	не только	3	87
6	но и	2	84
7	как бы	2	82
8	в том	5	71
9	то же	2	66
10	все это	7	62
11	что в	2	52
12	только в	2	48
13	том что	2	45
14	то что	2	41
15	может быть	2	35
16	в конце	2	32
17	еще не	2	29
18	не в	3	29
19	в частности	2	24
20	было бы	2	19
21	за пределы	2	19
22	далеко не	2	19
23	это и	2	18
24	в результате	2	17
25	по существу	2	14
26	литературы и	2	12
27	главным образом	2	12
28	и что	2	11
29	конце концов	2	10
30	по отношению	2	10
31	к которому	2	10
32	отношению к	2	9
33	для нас	3	9
34	ведь это	2	9
35	дело не	2	8
36	исторического развития	2	6
37	или даже	2	6
38	как будто	2	6
39	должна быть	2	5
40	тем более	2	5
41	и только	3	5
42	но ведь	3	4
43	в смысле	2	4
44	метод в	4	3
45	и мы	2	3
46	как же	3	2
47	исторической жизни	2	2
48	как только	2	2
49	только как	2	2
