N	2gram	Losev_Prob	Otkroven
1	и в	62	19
2	но и	20	13
3	и не	56	13
4	в этом	25	12
5	не только	33	11
6	не в	21	11
7	а не	28	11
8	может быть	39	11
9	и все	13	10
10	в нем	13	10
11	вопрос о	2	10
12	никогда не	7	9
13	в самой	4	9
14	потому что	40	9
15	не было	6	9
16	прежде всего	13	9
17	и он	3	8
18	ни с	5	7
19	в его	10	7
20	нет ничего	6	7
21	от него	2	7
22	он не	10	7
23	как и	15	6
24	все это	9	6
25	для него	4	5
26	а в	9	5
27	в том	35	5
28	о его	3	5
29	в самом	4	5
30	то что	42	5
31	в этой	10	5
32	и его	12	4
33	что в	11	4
34	он сам	7	4
35	только и	9	4
36	всегда есть	6	4
37	того чтобы	4	4
38	все эти	14	4
39	человеческих отношений	4	4
40	не может	14	4
41	все в	4	4
42	что не	4	4
43	в себе	23	3
44	и от	11	3
45	о том	14	3
46	это не	10	3
47	к нему	3	3
48	что он	16	3
49	было бы	14	3
50	для того	5	3
51	еще не	12	3
52	и есть	9	3
53	в этих	6	3
54	в своих	2	3
55	когда он	2	3
56	и ее	7	3
57	никто не	5	3
58	как бы	11	3
59	хотя бы	6	3
60	могут быть	2	3
61	это было	4	3
62	с ним	11	3
63	это за	3	3
64	того что	10	3
65	ли сказать	3	2
66	и то	17	2
67	сказать что	24	2
68	можно ли	8	2
69	и на	4	2
70	с тем	9	2
71	уже в	5	2
72	что же	9	2
73	ничего и	2	2
74	и для	5	2
75	совсем не	4	2
76	и там	2	2
77	что все	2	2
78	ничего кроме	2	2
79	не имеет	12	2
80	не могли	2	2
81	ничего не	4	2
82	в человеческом	2	2
83	и все-таки	3	2
84	и с	11	2
85	что и	11	2
86	ее в	2	2
87	и потому	13	2
88	и ни	5	2
89	в ее	6	2
90	в других	2	2
91	в своем	7	2
92	тем что	8	2
93	но в	17	2
94	том что	25	2
95	к этой	2	2
96	что для	4	2
97	природы и	3	2
98	все же	10	2
99	о которой	2	2
100	не очень	4	2
101	в своей	8	2
102	он в	3	2
103	так как	14	2
104	с чем	3	2
105	по себе	36	2
106	что у	3	2
107	же это	2	2
108	что они	8	2
109	в истории	4	2
110	так что	21	2
111	даже и	33	2
112	для всякого	2	2
113	и о	8	2
114	не есть	57	2
115	с которой	2	2
116	и нет	2	2
117	к этому	2	2
118	и к	9	2
119	так и	16	2
120	и очень	6	2
121	от самого	2	2
122	в которой	3	2
123	к ней	2	2
124	хотя и	9	2
125	его не	2	2
126	учение о	3	2
127	в другом	4	2
128	сразу же	2	2
129	чем в	2	2
130	ничто не	2	2
131	его в	4	2
