N	2gram	Medvedev_V	TeoriaLi
1	в качестве	12	33
2	не только	26	24
3	и в	26	24
4	в частности	12	23
5	может быть	23	22
6	в том	15	20
7	и не	20	17
8	художественной деятельности	2	17
9	а в	3	15
10	но и	10	14
11	так и	6	14
12	а не	7	14
13	в себе	6	14
14	но не	2	13
15	в этом	29	12
16	то же	10	12
17	но в	2	12
18	сводится к	3	12
19	в его	15	12
20	том что	8	11
21	точки зрения	3	11
22	и его	6	11
23	по отношению	7	10
24	лишь в	2	10
25	отношению к	7	10
26	как это	12	10
27	что в	11	10
28	не в	6	9
29	в искусстве	6	9
30	с другой	11	9
31	в то	6	9
32	только в	8	9
33	всего лишь	3	8
34	не может	17	8
35	как бы	5	8
36	в своей	4	8
37	же время	5	8
38	или иной	2	7
39	в своем	8	7
40	мы имеем	3	7
41	в области	2	7
42	в самом	4	7
43	не столько	2	7
44	в нем	7	7
45	того или	2	6
46	другой стороны	8	6
47	конечном счете	5	6
48	в конечном	7	6
49	не менее	2	6
50	еще не	2	6
51	то что	7	6
52	или менее	6	6
53	как и	7	6
54	более или	6	6
55	с другими	2	6
56	приводит к	6	6
57	между ними	3	6
58	в ее	4	6
59	с его	4	6
60	художественного произведения	6	5
61	в виду	4	5
62	не является	5	5
63	для того	3	5
64	в пределах	5	5
65	для него	9	5
66	между тем	6	5
67	могут быть	8	5
68	в художественном	10	5
69	того чтобы	3	5
70	того что	3	5
71	он не	2	5
72	можно сказать	4	5
73	художественного творчества	19	5
74	никогда не	5	4
75	сказать что	5	4
76	его в	3	4
77	в воображении	2	4
78	это не	7	4
79	и ее	4	4
80	в форме	3	4
81	в другом	2	4
82	в силу	14	4
83	в стихотворении	2	4
84	в их	5	4
85	что он	4	4
86	далеко не	3	4
87	к тому	5	4
88	мира и	3	4
89	в целом	5	4
90	говорить о	2	4
91	и сам	2	4
92	не следует	8	4
93	в слове	3	4
94	хотя и	2	4
95	даже в	5	3
96	перед нами	5	3
97	и потому	2	3
98	во всех	7	3
99	из этих	7	3
100	одной стороны	2	3
101	о чем	2	3
102	в которой	2	3
103	в противоположность	3	3
104	и для	2	3
105	и как	3	3
106	в порядке	6	3
107	если бы	3	3
108	роль в	4	3
109	или в	3	3
110	подобно тому	3	3
111	а всего	3	3
112	художественное произведение	7	3
113	как говорит	5	3
114	одним из	5	3
115	в романе	4	3
116	с одной	2	3
117	и др	10	3
118	не с	2	3
119	в жизни	2	3
120	искусства и	2	3
121	их в	7	3
122	именно в	3	3
123	тому как	3	3
124	том числе	2	3
125	говорит и	8	3
126	прежде всего	13	3
127	к его	2	3
128	и к	3	3
129	отнюдь не	4	3
130	только не	2	3
131	творческого воображения	21	3
132	все эти	8	3
133	и по	3	3
134	связи с	5	3
135	в связи	4	3
136	таким образом	32	3
137	во всей	2	3
138	например в	3	3
139	в этой	4	3
140	в одном	5	3
141	как раз	4	3
142	вовсе не	3	3
143	вслед за	3	3
144	еще и	2	2
145	чтобы не	2	2
146	на время	2	2
147	не могут	10	2
148	слова не	2	2
149	так же	3	2
150	если в	2	2
151	но как	3	2
152	не всегда	2	2
153	автора как	2	2
154	человека и	3	2
155	при всей	2	2
156	что она	2	2
157	о своем	2	2
158	отличается от	2	2
159	об этом	9	2
160	и даже	2	2
161	в конце	3	2
162	противном случае	2	2
163	это и	6	2
164	это делает	3	2
165	в значительной	3	2
166	по слову	2	2
167	у нас	3	2
168	говоря иначе	3	2
169	у него	6	2
170	даже самая	2	2
171	говорит в	3	2
172	на вопрос	2	2
173	в чем	2	2
174	вместе с	8	2
175	при всем	3	2
176	одной из	2	2
177	числе и	2	2
178	а для	2	2
179	ее в	4	2
180	тому что	7	2
181	о том	10	2
182	что такое	2	2
183	не вполне	2	2
184	должен быть	4	2
185	этой точки	2	2
186	на этом	2	2
187	в году	7	2
188	из которых	2	2
189	он и	2	2
190	один из	6	2
191	в них	5	2
192	по себе	2	2
193	что и	3	2
194	а затем	2	2
195	с ними	4	2
196	о его	2	2
197	в противном	2	2
198	заключается в	2	2
199	и некоторые	2	2
200	все это	13	2
201	только о	2	2
202	что они	3	2
203	анны карениной	2	2
204	который в	2	2
205	как способность	2	2
206	на основе	5	2
207	в системе	2	2
