N	2gram	Nazirov_Vr	FransuaR
1	и в	8	367
2	в этом	8	112
3	и т.п	2	108
4	и не	5	101
5	таким образом	2	100
6	и его	3	99
7	в его	3	98
8	не только	9	87
9	но и	7	84
10	как бы	4	82
11	в романе	6	77
12	как и	6	76
13	в нем	6	75
14	но в	6	75
15	в том	3	71
16	то же	5	66
17	и все	7	66
18	в этой	2	65
19	в них	2	65
20	и с	6	64
21	во время	2	63
22	в то	5	63
23	все это	4	62
24	же время	5	55
25	что в	7	52
26	в своем	3	51
27	том что	3	45
28	в году	18	44
29	то что	7	41
30	у него	5	40
31	точки зрения	2	37
32	в ней	4	37
33	с его	3	36
34	может быть	4	35
35	он был	3	35
36	о том	4	35
37	и даже	6	34
38	в себе	2	34
39	рядом с	2	32
40	в конце	3	32
41	он не	3	32
42	для него	2	32
43	в своей	2	31
44	так же	4	30
45	никогда не	2	30
46	но он	3	30
47	не может	2	29
48	еще не	2	29
49	его в	3	29
50	при этом	4	29
51	связи с	3	29
52	что он	4	29
53	из них	2	28
54	в той	2	28
55	все же	6	27
56	и образы	2	25
57	но это	2	25
58	отношение к	2	24
59	и у	3	24
60	это не	4	23
61	с ним	4	23
62	и о	3	22
63	и во	3	22
64	а в	2	22
65	тем что	3	22
66	вместе с	2	22
67	не было	5	22
68	в своих	4	21
69	одним из	3	21
70	и как	3	21
71	уже в	4	21
72	а также	2	20
73	как раз	2	20
74	в виду	4	20
75	с точки	2	20
76	и это	2	20
77	в связи	3	20
78	их в	2	19
79	к этому	3	19
80	в эту	2	19
81	далеко не	3	19
82	это в	2	18
83	одна из	2	18
84	между тем	5	16
85	в начале	6	16
86	в истории	4	15
87	не мог	2	15
88	и он	2	14
89	несмотря на	4	14
90	в чем	3	14
91	в котором	6	14
92	так в	2	13
93	в мире	2	13
94	о чем	2	13
95	этот момент	2	12
96	начиная с	2	12
97	и ее	2	12
98	раз в	3	12
99	место в	2	12
100	о нем	6	12
101	об этом	5	12
102	уже не	2	11
103	и что	8	11
104	там же	2	10
105	целый ряд	4	10
106	но как	2	9
107	и то	2	9
108	для нас	4	9
109	том же	2	9
110	же в	2	9
111	отношения к	2	9
112	в эти	2	8
113	в это	2	8
114	в него	2	8
115	на первый	2	8
116	не менее	2	8
117	в этот	3	8
118	человека с	2	8
119	в одну	2	7
120	что у	3	7
121	в свою	2	7
122	к ним	2	7
123	в париже	3	7
124	к себе	2	7
125	мы знаем	2	6
126	его на	2	6
127	его и	2	6
128	году в	2	6
129	во многом	4	6
130	тем более	2	5
131	с нею	2	5
132	и стал	2	5
133	он сам	2	5
134	на основе	2	5
135	на место	2	5
136	который был	3	5
137	он пишет	2	5
138	же как	2	5
139	человека в	3	5
140	об этой	2	5
141	на то	3	5
142	в известном	2	4
143	о себе	3	4
144	я не	3	4
145	о которой	2	4
146	на это	2	4
147	и далее	2	4
148	же не	2	4
149	в те	3	4
150	время он	2	4
151	в период	2	4
152	что я	2	4
153	время и	2	4
154	году и	2	4
155	права на	2	3
156	после этого	2	3
157	эти слова	3	3
158	и детей	4	3
159	наряду с	3	3
160	а с	2	3
161	историю о	2	3
162	и уже	3	3
163	после смерти	2	3
164	при помощи	2	2
165	как же	2	2
166	мотивы и	2	2
167	этот роман	2	2
168	имел в	3	2
169	его с	2	2
170	об их	2	2
171	года в	7	2
172	года он	3	2
173	речь идет	3	2
174	что есть	3	2
175	что ж	2	2
176	великих писателей	2	2
177	в честь	2	2
178	в нашей	2	2
179	о влиянии	2	2
180	очень хорошо	2	2
181	в письмах	2	2
182	что к	2	2
