N	2gram	Trubetskoy	Morfolog
1	и т	3	62
2	может быть	9	61
3	таким образом	11	26
4	так как	4	20
5	не может	22	19
6	в этом	17	18
7	в этих	2	17
8	и в	14	17
9	и не	19	16
10	с этим	2	14
11	прежде всего	8	14
12	по существу	5	13
13	связи с	3	12
14	а не	2	11
15	вопрос о	5	10
16	но если	3	10
17	то же	11	10
18	в том	17	10
19	то что	13	10
20	что в	4	10
21	что и	3	10
22	этом случае	3	10
23	все же	4	9
24	но и	10	9
25	не только	9	8
26	в результате	2	8
27	но не	4	8
28	а в	5	8
29	в качестве	3	8
30	не могут	4	7
31	том что	9	7
32	если в	6	7
33	по отношению	2	7
34	точки зрения	11	7
35	потому что	5	7
36	но это	2	6
37	во всех	5	6
38	и как	3	6
39	или в	3	6
40	во время	2	6
41	о том	7	6
42	с точки	9	6
43	как бы	4	6
44	одна из	3	5
45	хотя бы	5	5
46	мы можем	2	5
47	было бы	5	5
48	со стороны	4	5
49	что он	6	5
50	то это	3	5
51	тому что	2	5
52	к тому	7	5
53	из которых	5	5
54	между тем	5	5
55	главным образом	3	5
56	между собой	5	5
57	в других	2	5
58	все эти	2	5
59	что они	3	5
60	он не	5	5
61	если же	2	5
62	ясно что	2	5
63	на самом	6	4
64	его в	4	4
65	так же	2	4
66	в то	10	4
67	можно было	4	4
68	есть и	2	4
69	тем что	3	4
70	еще не	3	4
71	самом деле	7	4
72	из них	3	4
73	но в	2	4
74	и для	6	4
75	как и	4	4
76	ни одна	3	4
77	уже не	2	4
78	этот вопрос	2	4
79	и к	6	4
80	несмотря на	3	4
81	того чтобы	8	4
82	говорить о	3	4
83	в некоторых	2	4
84	от того	4	4
85	мы уже	2	4
86	в таких	2	3
87	то в	3	3
88	мы должны	7	3
89	в настоящее	2	3
90	то ни	4	3
91	том случае	4	3
92	даже не	2	3
93	что это	3	3
94	одному из	2	3
95	целый ряд	2	3
96	друг друга	3	3
97	если бы	6	3
98	в виде	3	3
99	и тем	2	3
100	он должен	5	3
101	не в	4	3
102	для того	6	3
103	и при	6	3
104	того что	3	3
105	приводит к	4	3
106	ее в	2	3
107	к нему	2	3
108	на то	5	3
109	ни в	2	3
110	что такое	2	3
111	состоит в	2	3
112	но мы	3	3
113	в большинстве	3	3
114	благодаря этому	2	3
115	но для	2	3
116	настоящее время	2	3
117	к чему	2	3
118	большинстве случаев	2	3
119	в начале	2	3
120	и что	2	3
121	и тогда	2	3
122	и по	3	3
123	только в	5	3
124	и есть	2	3
125	и только	5	3
126	приводят к	2	3
127	в этой	4	3
128	бы то	4	3
129	данном случае	3	2
130	самого себя	7	2
131	если они	2	2
132	себя в	4	2
133	что действительно	2	2
134	в россии	6	2
135	путь к	4	2
136	в данном	7	2
137	из этих	3	2
138	от него	2	2
139	к себе	2	2
140	в другом	3	2
141	и даже	2	2
142	и тот	2	2
143	или менее	4	2
144	случае если	3	2
145	в частности	2	2
146	только для	2	2
147	этого не	2	2
148	его и	2	2
149	ни к	7	2
150	а потому	5	2
151	должна быть	2	2
152	а с	2	2
153	и более	2	2
154	одной из	3	2
155	с тем	6	2
156	не так	2	2
157	и этот	3	2
158	к вопросу	4	2
159	вопросу о	3	2
160	она не	2	2
161	более или	4	2
162	их в	2	2
163	в своих	6	2
164	быть и	2	2
165	для нас	2	2
166	что же	4	2
167	точно так	2	2
168	всяком случае	6	2
169	может не	3	2
170	вряд ли	3	2
171	тогда как	2	2
172	себя и	5	2
173	все это	6	2
174	у него	2	2
175	как будто	2	2
176	в совершенно	4	2
177	для него	6	2
178	во всяком	9	2
