N	3gram	Losev_Prob	Problemy
1	в то же	10	26
2	с точки зрения	9	25
3	в этом смысле	5	16
4	на самом деле	5	15
5	с самим собою	2	14
6	не может быть	5	14
7	в конце концов	4	11
8	до сих пор	4	10
9	во всяком случае	8	9
10	с другой стороны	11	9
11	в том что	17	8
12	бы то ни	5	7
13	как раз и	5	7
14	и в то	2	7
15	сама по себе	11	7
16	и в этом	6	7
17	и т д	20	7
18	том что он	2	6
19	в отличие от	2	6
20	то ни было	4	6
21	по крайней мере	9	5
22	той или иной	16	5
23	сам по себе	10	5
24	подобно тому как	2	5
25	в зависимости от	3	5
26	хотя бы и	2	5
27	можно было бы	6	5
28	в той или	7	5
29	и прежде всего	3	4
30	тем не менее	23	4
31	и не в	2	4
32	более или менее	2	4
33	может быть и	3	4
34	о том что	8	4
35	так и в	2	4
36	само по себе	5	4
37	как мы сказали	2	4
38	как и в	2	4
39	сами по себе	8	4
40	а вовсе не	3	4
41	может быть даже	4	4
42	именно потому что	3	4
43	хотя и не	2	4
44	и то же	5	3
45	как мы видели	2	3
46	в то время	6	3
47	и в других	2	3
48	в данном случае	12	3
49	на то что	2	3
50	одно и то	4	3
51	не только не	5	3
52	в настоящее время	4	3
53	то время как	6	3
54	что он есть	2	3
55	никак не может	3	3
56	в этом случае	8	3
57	это вовсе не	5	3
58	а может быть	2	3
59	можно сказать что	2	3
60	что и в	3	2
61	то же самое	17	2
62	же как и	4	2
63	этой точки зрения	2	2
64	так что он	2	2
65	по себе и	2	2
66	только то что	4	2
67	что он не	2	2
68	в чем не	2	2
69	если бы он	2	2
70	всяком случае не	2	2
71	что же касается	5	2
72	в самой этой	2	2
73	и только в	3	2
74	по себе как	2	2
75	но с другой	2	2
76	на этот раз	3	2
77	том или другом	3	2
78	друг от друга	3	2
79	не только в	2	2
80	того или другого	3	2
81	для этого необходимо	2	2
82	по себе но	2	2
83	ни в чем	2	2
84	дело в том	4	2
85	для того чтобы	4	2
86	в себе и	2	2
87	как будто бы	7	2
88	и во всяком	3	2
89	в том или	2	2
90	но только в	2	2
91	чего бы то	2	2
