N	2gram	Vinokur_St	Formalny
1	и в	61	95
2	т е	21	94
3	и не	23	78
4	поэтического языка	2	67
5	может быть	16	66
6	в этом	37	61
7	не может	10	57
8	и пр	4	53
9	вовсе не	24	53
10	таким образом	16	52
11	и его	11	51
12	так и	15	50
13	точки зрения	16	47
14	в нем	9	42
15	в его	19	42
16	прежде всего	11	41
17	с точки	10	40
18	как и	11	39
19	и т	36	37
20	не в	15	35
21	в самом	14	35
22	в процессе	3	34
23	а не	19	34
24	но и	28	33
25	то же	7	32
26	самом деле	14	32
27	истории литературы	2	31
28	не только	36	30
29	в том	56	26
30	если бы	11	26
31	то что	27	25
32	на самом	8	24
33	при этом	4	24
34	в своей	12	24
35	лишь в	3	24
36	на почве	2	24
37	в ней	9	23
38	связи с	3	23
39	было бы	21	23
40	в то	10	22
41	в истории	5	21
42	как бы	8	21
43	что в	41	21
44	и с	6	21
45	в их	3	20
46	не менее	8	20
47	и от	2	20
48	с тем	3	20
49	же время	5	20
50	место в	2	20
51	не могут	2	19
52	все это	13	19
53	хотя бы	8	19
54	т д	25	19
55	по себе	3	19
56	т п	11	18
57	все же	12	18
58	и все	3	18
59	все эти	7	18
60	должна быть	3	18
61	с его	3	18
62	и их	3	18
63	только в	11	18
64	произведения в	2	17
65	как в	15	17
66	как раз	10	17
67	так же	7	16
68	во всяком	8	16
69	совершенно не	7	16
70	с другой	11	16
71	потому что	13	16
72	всяком случае	8	16
73	его в	4	15
74	но в	16	15
75	бы в	2	15
76	так как	7	15
77	во всех	8	15
78	именно в	8	15
79	и на	7	15
80	что он	23	14
81	в целом	5	14
82	языка и	4	14
83	в ее	6	14
84	в своем	8	14
85	еще не	4	14
86	в этой	13	14
87	и потому	3	14
88	жизни и	6	14
89	вместе с	5	14
90	до конца	4	13
91	в настоящее	2	13
92	настоящее время	2	13
93	со стороны	7	13
94	того что	14	13
95	а в	18	13
96	что же	6	13
97	могут быть	5	13
98	для них	2	13
99	что и	8	13
100	в результате	5	13
101	она не	3	13
102	тем что	6	13
103	ни в	5	13
104	по отношению	3	12
105	как это	6	12
106	история литературы	2	12
107	того чтобы	15	12
108	там где	6	12
109	и здесь	2	12
110	к тому	9	12
111	отношению к	3	12
112	и для	4	12
113	оно не	3	12
114	никогда не	7	11
115	этом отношении	13	11
116	это и	5	11
117	они не	2	11
118	в общем	2	11
119	в основе	4	11
120	но не	5	11
121	то ни	2	11
122	что они	9	11
123	для него	10	11
124	зависимости от	2	11
125	между тем	7	11
126	не о	2	10
127	не как	2	10
128	в зависимости	2	10
129	мы не	3	10
130	не было	7	10
131	по существу	3	10
132	бы то	2	10
133	другой стороны	9	10
134	не является	5	10
135	как о	2	10
136	в первом	2	10
137	материала и	2	10
138	и как	2	10
139	в своих	2	10
140	и теперь	2	10
141	конечно не	2	10
142	он не	11	10
143	в слове	5	10
144	тем же	3	10
145	быть и	2	9
146	ничего не	6	9
147	для понимания	2	9
148	совсем не	3	9
149	но это	9	9
150	и до	2	9
151	или иного	4	9
152	в каждом	3	9
153	бы ни	3	9
154	и даже	8	9
155	но ведь	8	9
156	у нас	12	9
157	не могло	4	9
158	литературы и	3	9
159	еще более	5	9
160	говорить о	3	9
161	отношения к	2	9
162	это не	8	8
163	в других	2	8
164	была бы	10	8
165	до сих	13	8
166	одной стороны	2	8
167	и те	4	8
168	в них	2	8
169	с одной	3	8
170	в области	16	8
171	же как	5	8
172	для этого	2	8
173	что это	5	8
174	с этим	6	8
175	в данном	16	8
176	всех этих	2	8
177	сих пор	12	8
178	должен быть	3	8
