N	2gram	Nazirov_Tr	VelikijI
1	и не	7	20
2	и в	18	16
3	то что	4	9
4	еще не	4	8
5	к людям	3	6
6	в мире	3	5
7	как бы	7	5
8	но и	4	5
9	все это	4	5
10	что все	2	4
11	в силах	2	4
12	и все	4	4
13	как и	5	4
14	потому что	2	4
15	в нем	4	4
16	в образе	6	4
17	и я	2	4
18	в его	3	4
19	в этом	9	4
20	что он	6	4
21	так и	5	4
22	никогда не	2	3
23	что в	4	3
24	в том	2	3
25	не имеет	2	3
26	но в	6	3
27	к тому	2	3
28	ни в	2	3
29	но это	4	3
30	бы и	2	3
31	должно быть	3	3
32	личности и	2	3
33	в конце	3	3
34	что и	2	3
35	и что	4	3
36	не в	2	3
37	все эти	3	3
38	что я	4	3
39	с его	2	3
40	и то	2	2
41	с тем	2	2
42	одна из	2	2
43	не так	2	2
44	и это	2	2
45	это не	5	2
46	не только	8	2
47	не могут	2	2
48	том что	4	2
49	уже не	2	2
50	один из	3	2
51	ивана карамазова	2	2
52	тем что	2	2
53	смысл жизни	3	2
54	и сам	3	2
55	и за	2	2
56	прежде всего	4	2
57	с ним	3	2
58	для него	3	2
