N	3gram	Berdyaev_O	Mirosoze
1	не может быть	2	28
2	о великом инквизиторе	6	13
3	а не в	2	9
4	легенде о великом	3	8
5	в легенде о	3	8
6	в дневнике писателя	2	8
7	для того чтобы	3	7
8	о человеке и	5	6
9	и в этом	2	6
10	в этом он	2	6
11	записок из подполья	5	6
12	в самой глубине	3	5
13	но и в	2	5
14	до самой глубины	3	5
15	человеческой природы в	2	5
16	человеке и его	2	5
17	к человеку и	4	5
18	в творчестве его	3	4
19	никогда не было	2	4
20	в нем нет	3	4
21	все герои достоевского	4	4
22	взял все что	2	4
23	у достоевского было	2	4
24	дважды два четыре	3	4
25	поступил как бы	2	4
26	записках из подполья	3	3
27	о человеке о	4	3
28	с тем что	2	3
29	как и все	2	3
30	о человеческой природе	2	3
31	и никогда не	2	3
32	в записках из	3	3
33	загадка о человеке	2	3
34	и ивана карамазова	2	3
35	у достоевского с	2	3
36	легенда о великом	2	2
37	и великий инквизитор	3	2
38	влечет к гибели	2	2
39	от него и	4	2
40	достоевский прежде всего	2	2
41	нет ничего кроме	2	2
42	великий инквизитор говорит	2	2
43	что человеку надо	2	2
44	вопрос о боге	3	2
45	он не созерцает	2	2
46	в романах достоевского	3	2
47	не только бога	2	2
48	и в самой	2	2
49	из подполья и	3	2
50	пожелать себе даже	2	2
51	ни у кого	2	2
52	единственно для того	2	2
53	не могут быть	2	2
54	к черту и	2	2
55	может быть человек	2	2
