N	3gram	Tiupa_Disk	formyVre
1	то же время	9	21
2	в то же	7	18
3	с точки зрения	3	15
4	не только в	2	11
5	в этом мире	2	10
6	и в то	2	10
7	одного и того	4	9
8	и того же	4	9
9	и прежде всего	2	8
10	в том числе	3	8
11	в большинстве случаев	2	8
12	прежде всего в	2	7
13	в этом отношении	4	7
14	в отличие от	12	7
15	не может быть	5	7
16	с одной стороны	12	6
17	и в особенности	2	6
18	одно и то	2	5
19	и то же	2	5
20	в том что	18	5
21	том числе и	3	5
22	как и в	3	5
23	и не только	2	5
24	то есть в	2	5
25	той или иной	6	5
26	времени и пространства	2	5
27	одной стороны и	3	5
28	в этом случае	3	4
29	с другой стороны	4	4
30	во всяком случае	2	4
31	по отношению к	13	4
32	но при этом	3	3
33	до известной степени	2	3
34	то же самое	2	3
35	а не в	2	3
36	и как бы	5	3
37	существенную роль в	4	3
38	о том что	8	3
39	так и в	4	3
40	с самого начала	2	3
41	в одно и	2	3
42	сами по себе	2	3
43	тот или иной	2	3
44	по природе своей	6	2
45	это прежде всего	3	2
46	можно сказать что	3	2
47	по своей природе	3	2
48	в основе своей	4	2
49	дело в том	3	2
50	в частности в	2	2
51	в соответствии с	4	2
52	в данном случае	6	2
53	к тому же	4	2
54	в свою очередь	3	2
