N	2gram	Bakhtin_KF	PoTuStor
1	может быть	45	17
2	и в	28	16
3	и пр	3	12
4	в этом	15	9
5	и только	7	9
6	прежде всего	4	9
7	точки зрения	13	8
8	совершенно не	7	8
9	не может	29	8
10	и его	18	8
11	не только	5	7
12	с его	2	7
13	и это	12	6
14	с точки	10	6
15	конечно не	7	6
16	самом деле	3	6
17	я и	5	6
18	для него	13	6
19	при этом	4	6
20	ни в	12	5
21	все эти	11	5
22	как бы	9	5
23	еще не	5	5
24	в чем	4	5
25	в него	2	5
26	отношение к	6	5
27	и на	3	4
28	все это	10	4
29	на самом	3	4
30	его в	5	4
31	в его	42	4
32	и ее	2	4
33	но и	9	4
34	и не	28	4
35	и все	9	4
36	но в	5	4
37	в этой	2	4
38	с ее	2	4
39	и их	6	4
40	и может	3	4
41	только в	18	4
42	в нем	32	4
43	хотя бы	5	4
44	с ними	4	4
45	так и	2	4
46	отнюдь не	7	4
47	едва ли	2	3
48	и она	2	3
49	что в	4	3
50	жизни и	8	3
51	и как	2	3
52	и потому	2	3
53	а в	5	3
54	в том	6	3
55	в области	2	3
56	и есть	10	3
57	чем не	4	3
58	то что	7	3
59	только как	4	3
60	во всех	11	3
61	мира и	4	3
62	могут быть	3	3
63	на язык	3	3
64	в одном	5	3
65	этом смысле	3	3
66	к себе	2	3
67	том что	4	3
68	в основе	5	3
69	один из	2	2
70	никогда не	5	2
71	для нас	4	2
72	все остальные	2	2
73	может иметь	2	2
74	по своему	3	2
75	в жизни	2	2
76	и действительно	6	2
77	кажется что	2	2
78	в каком	4	2
79	к ним	4	2
80	в мир	2	2
81	для этого	2	2
82	и для	10	2
83	и содержание	5	2
84	совсем не	2	2
85	и всех	2	2
86	и этот	3	2
87	что не	3	2
88	что это	4	2
89	т.е не	2	2
90	что и	7	2
91	не менее	3	2
92	и мы	2	2
93	было бы	8	2
94	сводится к	2	2
95	и других	2	2
96	о том	3	2
97	то же	5	2
98	как и	5	2
99	что он	2	2
100	говорить о	2	2
101	но ведь	5	2
102	в своей	11	2
103	мы не	3	2
104	себя и	5	2
105	ни было	4	2
106	но как	5	2
107	моей жизни	4	2
108	войти в	3	2
109	сознания и	3	2
110	он не	6	2
111	во всей	4	2
112	для меня	22	2
113	со всеми	2	2
114	оно не	2	2
115	не есть	22	2
116	всех его	2	2
117	к этому	2	2
118	его целом	10	2
119	нет и	3	2
120	не знает	5	2
121	момент в	7	2
122	всех других	2	2
123	и этим	3	2
124	не будет	2	2
125	на основе	7	2
126	с ним	5	2
127	но это	6	2
