N	2gram	Tiupa_Vved	Morfolog
1	может быть	25	61
2	таким образом	6	26
3	действующих лиц	2	22
4	могут быть	5	21
5	мы имеем	8	19
6	не может	14	19
7	в этом	27	18
8	в этих	5	17
9	представляет собой	18	17
10	и в	23	17
11	и не	24	16
12	представляют собой	3	16
13	этих случаях	2	15
14	перед нами	13	14
15	прежде всего	11	14
16	и др	2	12
17	связи с	2	12
18	а не	31	11
19	заметить что	2	11
20	то же	8	10
21	в том	21	10
22	не всегда	2	10
23	то что	9	10
24	так и	14	10
25	что в	6	10
26	что и	6	10
27	все же	10	9
28	но и	31	9
29	с другой	10	9
30	не только	32	8
31	в результате	5	8
32	но не	9	8
33	а в	15	8
34	мы не	6	8
35	в качестве	18	8
36	как мы	5	8
37	том что	16	7
38	если в	3	7
39	по отношению	11	7
40	тем не	3	7
41	наряду с	2	7
42	не менее	4	7
43	отношению к	11	7
44	как это	2	7
45	а также	12	7
46	и здесь	2	7
47	во втором	4	7
48	один из	3	7
49	потому что	7	7
50	это не	7	6
51	но это	4	6
52	не все	2	6
53	во всех	2	6
54	и как	2	6
55	или в	3	6
56	во время	3	6
57	также и	6	6
58	подобно тому	3	6
59	в нашем	9	6
60	о том	7	6
61	как бы	8	6
62	одна из	5	5
63	ничего не	3	5
64	и ее	2	5
65	вслед за	3	5
66	хотя бы	2	5
67	мы можем	2	5
68	было бы	4	5
69	об этом	5	5
70	в ходе	3	5
71	со стороны	15	5
72	героя в	3	5
73	что он	2	5
74	начинается с	2	5
75	как в	8	5
76	далеко не	5	5
77	тому что	2	5
78	к тому	9	5
79	между тем	3	5
80	в целом	4	5
81	видно что	2	5
82	другой стороны	3	5
83	между собой	2	5
84	на его	2	5
85	тому как	3	5
86	и затем	2	5
87	что они	2	5
88	он не	6	5
89	в первом	3	5
90	хотя и	10	5
91	ясно что	2	5
92	на самом	5	4
93	тех же	2	4
94	так же	2	4
95	в то	5	4
96	можно было	2	4
97	к этому	3	4
98	на него	3	4
99	тем что	2	4
100	не является	7	4
101	герой и	3	4
102	еще не	8	4
103	могла бы	3	4
104	самом деле	6	4
105	но в	14	4
106	и для	8	4
107	как и	21	4
108	входит в	2	4
109	уже не	7	4
110	и к	2	4
111	несмотря на	2	4
112	того чтобы	2	4
113	говорить о	5	4
114	первый взгляд	3	3
115	или не	3	3
116	здесь не	2	3
117	а на	4	3
118	что это	2	3
119	и у	2	3
120	целый ряд	2	3
121	если бы	10	3
122	на первый	3	3
123	и тем	3	3
124	не в	12	3
125	героя и	5	3
126	для героя	2	3
127	у нас	4	3
128	а во	2	3
129	в пределах	3	3
130	в какой	4	3
131	того что	7	3
132	приводит к	2	3
133	здесь мы	2	3
134	так например	2	3
135	к нему	2	3
136	это уже	2	3
137	они не	3	3
138	на то	3	3
139	а то	2	3
140	что такое	23	3
141	состоит в	23	3
142	с того	3	3
143	не существует	3	3
144	в начале	3	3
145	можно назвать	2	3
146	и что	2	3
147	и по	3	3
148	же в	3	3
149	и его	9	3
150	только в	9	3
151	в сущности	3	3
152	и есть	2	3
153	и только	2	3
154	в этой	2	3
155	данном случае	15	2
156	появляется в	2	2
157	себя в	4	2
158	которое может	2	2
159	в данном	22	2
160	из этих	5	2
161	том как	4	2
162	одной стороны	9	2
163	дело не	2	2
164	бы в	4	2
165	у нее	4	2
166	ответ на	2	2
167	если она	2	2
168	в обоих	3	2
169	к себе	2	2
170	в другом	2	2
171	и даже	3	2
172	мальчик и	2	2
173	или менее	2	2
174	что она	2	2
175	роль в	2	2
176	в данной	2	2
177	этом отношении	7	2
178	не на	3	2
179	в частности	19	2
180	одним из	5	2
181	встреча с	2	2
182	этого не	2	2
183	потому не	2	2
184	на друга	2	2
185	ни к	3	2
186	в чем	2	2
187	не знает	2	2
188	к различным	3	2
189	с одной	9	2
190	должна быть	3	2
191	друг на	2	2
192	в итоге	4	2
193	а с	4	2
194	следует заметить	2	2
195	и более	5	2
196	не с	4	2
197	не по	4	2
198	на этот	2	2
199	не имеет	3	2
200	но так	2	2
201	более или	2	2
202	их в	3	2
203	могли бы	3	2
204	в своих	5	2
205	оно не	2	2
206	быть и	2	2
207	но они	3	2
208	в которых	2	2
209	не входит	2	2
210	однако в	9	2
211	что до	2	2
212	для нас	4	2
213	что мы	2	2
214	что же	6	2
215	в одной	2	2
216	всяком случае	3	2
217	когда в	2	2
218	тогда как	16	2
219	все это	3	2
220	она в	2	2
221	в основе	6	2
222	у него	8	2
223	как будто	6	2
224	например в	2	2
225	можно сказать	6	2
226	который в	5	2
227	для него	5	2
228	в одном	5	2
229	во всяком	3	2
230	по своему	3	2
