N	2gram	Vygotskiy_	DiskursI
1	в качестве	3	72
2	а не	18	60
3	может быть	35	56
4	не только	25	49
5	и в	55	49
6	как и	25	47
7	при этом	28	46
8	в том	55	44
9	и не	24	44
10	то есть	44	41
11	представляет собой	2	41
12	том что	30	40
13	в этом	21	38
14	в себе	6	37
15	состоит в	5	37
16	в частности	6	36
17	но и	12	35
18	но не	5	31
19	со стороны	5	28
20	так и	6	28
21	отличие от	6	28
22	но в	5	28
23	не может	30	27
24	в отличие	4	27
25	как в	17	25
26	еще не	2	23
27	отнюдь не	11	23
28	все же	9	19
29	прежде всего	5	19
30	в нем	5	19
31	в своей	6	19
32	в основе	13	18
33	далеко не	7	18
34	то же	17	17
35	с другой	7	17
36	точки зрения	32	16
37	только в	18	16
38	роль в	4	15
39	в его	8	15
40	то что	47	15
41	о том	11	15
42	не в	19	14
43	не менее	9	14
44	одной стороны	7	14
45	можно сказать	2	14
46	не является	5	14
47	с одной	6	14
48	в целом	8	13
49	как бы	11	13
50	в своем	3	12
51	и все	8	12
52	того же	3	12
53	в своих	12	12
54	и на	6	12
55	что в	39	11
56	с его	3	11
57	и как	9	11
58	столь же	6	11
59	не было	5	11
60	для себя	2	10
61	а в	10	10
62	а с	2	10
63	вследствие этого	2	10
64	также и	2	10
65	же время	2	10
66	тем самым	2	9
67	в то	8	9
68	в силу	4	9
69	между тем	6	9
70	в них	4	9
71	уже не	3	9
72	сводится к	3	9
73	этом отношении	7	8
74	и о	4	8
75	к тому	8	8
76	потому что	27	8
77	не на	2	8
78	хотя и	3	8
79	если в	2	8
80	и даже	11	8
81	в басне	5	8
82	в этих	6	8
83	в себя	3	8
84	в котором	5	8
85	в творчестве	5	8
86	в одном	4	8
87	из них	4	8
88	совпадает с	4	8
89	он не	8	8
90	его в	3	7
91	о чем	2	7
92	могут быть	15	7
93	и ее	4	7
94	приводит к	3	7
95	и для	9	7
96	но это	3	7
97	в процессе	7	7
98	что и	27	7
99	например в	5	7
100	в этой	5	7
101	другой стороны	7	7
102	к этому	5	7
103	иначе говоря	6	7
104	ни в	9	7
105	той же	9	7
106	и его	14	7
107	таким образом	38	7
108	тому же	4	7
109	основе своей	2	7
110	никогда не	13	6
111	в одной	3	6
112	не как	3	6
113	отношение к	3	6
114	что он	17	6
115	личного авторства	2	6
116	одно из	2	6
117	тому как	10	6
118	однако в	2	6
119	что же	4	6
120	и может	3	6
121	в сущности	15	6
122	в ее	7	6
123	имеет место	2	6
124	и то	4	6
125	одна из	5	6
126	то в	2	6
127	дело в	2	6
128	во всех	4	6
129	конечном счете	6	6
130	в особенности	3	6
131	времени и	2	6
132	в конечном	6	6
133	в которых	5	6
134	с точки	12	6
135	ничего не	4	5
136	в виду	6	5
137	в их	4	5
138	не всегда	2	5
139	свою очередь	3	5
140	и потому	2	5
141	того что	15	5
142	о нем	2	5
143	к ним	4	5
144	стороны и	3	5
145	несмотря на	8	5
146	один из	6	5
147	исходя из	4	5
148	того как	5	5
149	как будто	10	5
150	сказать что	12	5
151	из этих	6	5
152	подход к	3	5
153	за пределы	2	5
154	с ее	3	5
155	одного и	2	5
156	себе не	4	5
157	в свою	3	5
158	подобно тому	7	5
159	и состоит	2	5
160	оно не	2	5
161	зрения на	2	5
162	может служить	3	5
163	на этом	3	5
164	в той	2	5
165	как раз	4	5
166	же самое	8	5
167	не к	2	5
168	в ней	3	5
169	тем что	7	5
170	до конца	9	4
171	не могут	6	4
172	из того	2	4
173	а на	4	4
174	с той	2	4
175	и тем	5	4
176	у них	2	4
177	одном из	2	4
178	и составляет	3	4
179	того или	2	4
180	по своему	2	4
181	в произведении	7	4
182	как это	8	4
183	и это	6	4
184	только на	7	4
185	на его	3	4
186	что не	2	4
187	к жизни	2	4
188	аналогии с	2	4
189	и до	2	4
190	и во	3	4
191	по выражению	2	4
192	того и	3	4
193	что они	7	4
194	должны быть	6	4
195	во всяком	9	4
196	мы имеем	7	4
197	это в	4	4
198	в результате	4	4
199	по преимуществу	2	4
200	отличается от	4	4
201	тем не	6	4
202	связи с	2	4
203	в какой	6	4
204	есть в	7	4
205	в жизни	5	4
206	в самом	18	4
207	будто бы	2	4
208	не есть	4	4
209	и к	5	4
210	из виду	2	4
211	зависит от	2	4
212	по себе	21	4
213	говорит о	4	4
214	на примере	5	4
215	точка зрения	6	4
216	или в	2	4
217	и есть	5	4
218	с ним	2	4
219	самому себе	2	3
220	вопрос о	3	3
221	идет о	2	3
222	указывает на	6	3
223	понятие о	2	3
224	различие между	5	3
225	в полном	3	3
226	в тех	2	3
227	вплоть до	3	3
228	к другим	2	3
229	там же	2	3
230	ли не	2	3
231	литературной традиции	3	3
232	это и	3	3
233	в области	12	3
234	в действительности	4	3
235	на основании	7	3
236	тенденция к	2	3
237	как на	6	3
238	у пушкина	4	3
239	что ни	2	3
240	мере в	2	3
241	они и	2	3
242	но как	4	3
243	но так	2	3
244	она не	6	3
245	на том	2	3
246	он говорит	4	3
247	более или	3	3
248	об этом	3	3
249	заметить что	3	3
250	в лирическом	2	3
251	что на	4	3
252	их с	2	3
253	живет в	2	3
254	о его	2	3
255	все эти	7	3
256	о ней	4	3
257	было бы	14	3
258	мы не	15	3
259	должна быть	3	3
260	как мы	2	3
261	и от	4	3
262	или не	2	3
263	произведения как	3	3
264	с этим	7	3
265	хотя бы	4	3
266	в которой	6	3
267	который не	2	3
268	и по	7	3
269	как не	2	3
270	принадлежат к	4	3
271	обнаруживается в	2	3
272	и наконец	2	3
273	при всем	3	3
274	заключается в	15	3
275	дело с	10	3
276	и более	3	3
277	или менее	3	3
278	не имеет	3	3
279	их в	4	3
280	когда он	11	3
281	и предполагает	2	3
282	к чему	2	3
283	на почве	3	3
284	уже в	3	3
285	всяком случае	7	3
286	жизни и	5	3
287	к числу	3	3
288	том случае	3	3
289	слова в	5	3
290	то ни	2	3
291	имеет дело	2	3
292	и сам	3	3
293	и что	28	3
294	имеем дело	2	3
295	и без	3	3
296	тем же	4	3
297	вместе с	10	3
298	этом как	2	2
299	точкой зрения	2	2
300	в книге	2	2
301	в отношении	3	2
302	к одному	5	2
303	очевидно что	7	2
304	как можно	3	2
305	которое может	2	2
306	его к	2	2
307	мы должны	4	2
308	для всех	5	2
309	к искусству	6	2
310	вслед за	10	2
311	в каждом	5	2
312	все то	4	2
313	как к	2	2
314	едва ли	5	2
315	мышления и	3	2
316	есть не	6	2
317	сами по	4	2
318	с достаточной	3	2
319	для художественного	2	2
320	начала и	2	2
321	в науке	2	2
322	к области	3	2
323	и при	3	2
324	к своему	2	2
325	самом деле	19	2
326	с таким	18	2
327	одной и	6	2
328	представления о	2	2
329	в чем	5	2
330	его не	3	2
331	что даже	3	2
332	по существу	6	2
333	мы видели	2	2
334	для понимания	2	2
335	в центр	2	2
336	действующих лиц	3	2
337	в него	4	2
338	это обстоятельство	3	2
339	есть к	2	2
340	к нему	3	2
341	только с	2	2
342	а только	4	2
343	те же	9	2
344	переходе от	2	2
345	а потому	5	2
346	ответ на	2	2
347	мы его	2	2
348	не то	2	2
349	речь идет	4	2
350	и другого	4	2
351	тем или	2	2
352	что с	5	2
353	в собственном	4	2
354	себя и	3	2
355	как нечто	3	2
356	все это	11	2
357	который в	3	2
358	этого слова	5	2
359	выходит за	2	2
360	же как	8	2
361	интерес к	2	2
362	вовсе не	7	2
363	бы то	3	2
364	совпадают с	3	2
365	по поводу	3	2
366	представление о	6	2
367	и вообще	3	2
368	эстетического объекта	2	2
369	не могли	4	2
370	в разные	2	2
371	в стихах	2	2
372	тех же	2	2
373	том чтобы	9	2
374	к работе	2	2
375	утверждать что	9	2
376	с другими	2	2
377	его с	3	2
378	х годов	5	2
379	время в	2	2
380	только то	3	2
381	формы художественного	2	2
382	должно быть	2	2
383	что она	11	2
384	мысли и	2	2
385	мы можем	6	2
386	на него	2	2
387	за ним	2	2
388	то чтобы	4	2
389	целый ряд	12	2
390	на деле	11	2
391	если бы	10	2
392	в первый	3	2
393	и той	5	2
394	не обладает	2	2
395	в языке	3	2
396	и делает	2	2
397	ни было	2	2
398	для того	12	2
399	и их	4	2
400	с этой	8	2
401	такой же	9	2
402	отказаться от	4	2
403	себе и	2	2
404	отношении к	3	2
405	нас в	2	2
406	заключает в	3	2
407	том и	4	2
408	на этот	2	2
409	у него	4	2
410	значение в	2	2
411	точке зрения	2	2
412	на то	17	2
413	в самой	2	2
414	с понятием	2	2
415	еще более	2	2
416	и другой	6	2
417	и с	5	2
418	или иным	2	2
419	из которых	5	2
420	всякий раз	10	2
421	не знаем	2	2
422	теми же	2	2
423	и теперь	2	2
424	мы все	3	2
425	случае если	2	2
426	только о	3	2
427	и только	5	2
428	во всем	5	2
429	этих двух	4	2
430	а как	2	2
431	на основе	2	2
