N	3gram	Vygotskiy_	Morfolog
1	и т д	6	60
2	мы видим что	5	11
3	в этом случае	2	10
4	не может быть	4	9
5	таким образом мы	2	7
6	по отношению к	2	7
7	с точки зрения	5	6
8	с другой стороны	8	5
9	на самом деле	8	4
10	в том что	30	4
11	к тому что	8	4
12	образом мы видим	2	4
13	о том что	15	3
14	то время как	4	3
15	собственном смысле слова	2	3
16	состоит в том	2	3
17	в то время	4	3
18	для того чтобы	41	3
19	на то что	25	3
20	в собственном смысле	2	3
21	вопрос о том	3	2
22	то что в	4	2
23	мы увидим что	7	2
24	не что иное	2	2
25	в данном случае	3	2
26	что иное как	2	2
27	он может быть	2	2
28	в этом отношении	3	2
29	и таким образом	3	2
30	друг к другу	5	2
31	оно может быть	2	2
32	может быть и	2	2
33	но никто не	2	2
34	если это так	2	2
35	можно было бы	4	2
36	с одной стороны	15	2
