N	3gram	Trubetskoy	Formalny
1	с точки зрения	6	40
2	то же время	2	20
3	в то же	2	20
4	во всяком случае	6	16
5	в связи с	3	16
6	в этом отношении	2	11
7	бы то ни	2	10
8	для того чтобы	5	8
9	до сих пор	5	8
10	вместе с тем	8	8
11	с одной стороны	7	8
12	более или менее	5	7
13	то ни было	2	7
14	и в этом	2	7
15	может быть и	2	6
16	в том что	3	6
17	в конце концов	3	4
18	с самого начала	2	4
19	тем не менее	3	4
20	но все же	4	4
21	то же самое	2	3
22	с тем и	2	3
23	то или иное	2	3
24	друг с другом	5	3
25	между этими двумя	2	3
26	в том числе	5	3
27	так или иначе	3	3
28	том числе и	4	3
29	так и от	2	3
30	так же как	3	2
31	ничего общего с	2	2
32	этой точки зрения	2	2
33	с этой точки	2	2
