N	2gram	Voloshinov	Morfolog
1	может быть	8	61
2	и пр	7	45
3	таким образом	6	26
4	могут быть	2	21
5	так как	3	20
6	не может	8	19
7	в этом	2	18
8	и в	13	17
9	и не	8	16
10	мы видим	2	15
11	с этим	3	14
12	прежде всего	9	14
13	и др	2	12
14	а не	2	11
15	то же	4	10
16	в том	2	10
17	то что	6	10
18	так и	3	10
19	что в	3	10
20	в связи	2	10
21	все же	5	9
22	но и	3	9
23	с другой	2	9
24	не только	6	8
25	в тех	2	8
26	а в	2	8
27	мы не	4	8
28	том что	2	7
29	по отношению	3	7
30	не менее	2	7
31	отношению к	3	7
32	а также	2	7
33	точки зрения	7	7
34	с точки	5	6
35	как бы	6	6
36	вовсе не	2	6
37	и ее	2	5
38	вслед за	2	5
39	хотя бы	5	5
40	мы можем	4	5
41	было бы	4	5
42	как в	2	5
43	к тому	2	5
44	между тем	2	5
45	в целом	2	5
46	другой стороны	2	5
47	там где	2	5
48	все эти	2	5
49	что они	2	5
50	учение о	2	5
51	так же	2	4
52	тем что	2	4
53	не является	4	4
54	самом деле	3	4
55	но в	4	4
56	и для	3	4
57	как и	3	4
58	входит в	2	4
59	и к	2	4
60	смысле слова	2	4
61	несмотря на	2	4
62	говорить о	3	4
63	мы уже	2	4
64	мы должны	6	3
65	в которой	3	3
66	вопроса о	4	3
67	и их	7	3
68	если бы	2	3
69	связана с	3	3
70	и тем	2	3
71	не в	3	3
72	героя и	2	3
73	и при	2	3
74	с этой	2	3
75	в пределах	3	3
76	здесь мы	3	3
77	ее в	2	3
78	но мы	4	3
79	но для	3	3
80	и его	12	3
81	только в	6	3
82	данном случае	2	2
83	которое может	2	2
84	в данном	2	2
85	одной стороны	2	2
86	бы в	2	2
87	иное как	2	2
88	не что	2	2
89	в другом	2	2
90	роль в	2	2
91	превращается в	3	2
92	не на	2	2
93	между собою	2	2
94	но такое	2	2
95	что иное	2	2
96	в чем	2	2
97	с одной	2	2
98	и этот	2	2
99	не имеет	2	2
100	но так	2	2
101	в своих	2	2
102	не сумеем	2	2
103	что же	3	2
104	вряд ли	3	2
105	что эта	2	2
106	все это	4	2
107	поставить вопрос	3	2
108	мы получим	2	2
109	для него	2	2
110	в одном	3	2
