N	2gram	Vinokur_Vv	PoTuStor
1	может быть	30	17
2	и в	35	16
3	мы можем	2	9
4	в этом	35	9
5	таким образом	21	9
6	прежде всего	10	9
7	и с	2	8
8	точки зрения	12	8
9	не может	19	8
10	и его	6	8
11	сказать что	6	7
12	не только	26	7
13	и это	6	6
14	с точки	4	6
15	самом деле	7	6
16	и к	3	6
17	при этом	3	6
18	все эти	3	5
19	что такое	12	5
20	как бы	7	5
21	нуждается в	3	5
22	еще не	4	5
23	в чем	4	5
24	отношение к	3	5
25	как мы	11	4
26	и на	3	4
27	все это	6	4
28	его в	6	4
29	в его	12	4
30	и ее	4	4
31	но и	7	4
32	и не	13	4
33	но в	10	4
34	в этой	3	4
35	так как	15	4
36	только в	16	4
37	в нем	13	4
38	а потому	5	4
39	хотя бы	6	4
40	можно сказать	4	4
41	так и	2	4
42	мысли и	2	4
43	и даже	6	4
44	что в	13	3
45	жизни и	2	3
46	и как	9	3
47	и потому	2	3
48	на этой	3	3
49	а в	6	3
50	в том	38	3
51	по сравнению	4	3
52	и вот	3	3
53	в общем	14	3
54	между ними	3	3
55	в области	4	3
56	до сих	7	3
57	только на	3	3
58	крайней мере	4	3
59	и есть	3	3
60	сравнению с	4	3
61	в этих	3	3
62	в конечном	3	3
63	с их	5	3
64	как это	5	3
65	то что	19	3
66	только как	7	3
67	во всех	2	3
68	по крайней	4	3
69	могут быть	6	3
70	сих пор	7	3
71	всяком случае	5	3
72	вместе с	6	3
73	учение о	2	3
74	в одном	4	3
75	этом смысле	11	3
76	и др	2	3
77	на этом	3	3
78	во всяком	5	3
79	том что	30	3
80	один из	6	2
81	никогда не	3	2
82	что мы	2	2
83	по своему	5	2
84	есть и	5	2
85	в них	5	2
86	с историей	3	2
87	в каком	3	2
88	для этого	3	2
89	и вообще	3	2
90	же как	3	2
91	и для	4	2
92	совсем не	3	2
93	что не	5	2
94	что это	3	2
95	нашего времени	2	2
96	таким путем	2	2
97	вообще не	3	2
98	что и	5	2
99	не менее	9	2
100	не существует	2	2
101	было бы	7	2
102	не могут	6	2
103	и других	3	2
104	о том	16	2
105	то же	11	2
106	с этим	3	2
107	как и	7	2
108	что он	5	2
109	так же	3	2
110	говорить о	5	2
111	того же	3	2
112	но ведь	4	2
113	в своей	4	2
114	мы не	2	2
115	это делает	2	2
116	из этих	9	2
117	но как	2	2
118	в самом	13	2
119	в начале	3	2
120	с этой	5	2
121	в свое	3	2
122	в частности	3	2
123	что можно	2	2
124	при всей	2	2
125	момента в	2	2
126	не есть	5	2
127	к этому	3	2
128	с помощью	2	2
129	что оно	2	2
130	и так	2	2
131	в этот	2	2
132	мы уже	2	2
133	на протяжении	2	2
134	но это	2	2
135	но зато	2	2
