N	2gram	Propp_Isto	Tragedij
1	и в	44	18
2	в этом	20	9
3	не только	17	8
4	и не	19	7
5	и на	11	7
6	как бы	4	7
7	и с	8	7
8	может быть	31	7
9	что он	29	6
10	но в	7	6
11	и его	15	6
12	в образе	16	6
13	у него	7	6
14	несмотря на	3	5
15	что это	8	5
16	все же	17	5
17	это не	8	5
18	то же	9	5
19	как и	12	5
20	в дальнейшем	6	5
21	так и	9	5
22	не может	10	5
23	в то	5	5
24	он всегда	2	4
25	что в	18	4
26	еще не	16	4
27	в целом	4	4
28	но и	16	4
29	прежде всего	7	4
30	об этом	6	4
31	том что	12	4
32	в этой	5	4
33	и что	13	4
34	так же	14	4
35	и все	4	4
36	все это	4	4
37	в нем	10	4
38	то что	16	4
39	но это	10	4
40	и даже	4	4
41	один из	6	3
42	что за	2	3
43	и как	5	3
44	уже в	4	3
45	тем самым	2	3
46	что образ	2	3
47	к нему	5	3
48	в своем	3	3
49	при этом	4	3
50	в его	16	3
51	что с	2	3
52	все эти	11	3
53	мог бы	2	3
54	и он	9	3
55	о чем	6	3
56	в основном	5	3
57	и сам	2	3
58	как будто	2	3
59	никто не	4	3
60	как в	11	3
61	как это	5	3
62	для него	2	3
63	с ним	9	3
64	никогда не	5	2
65	и то	5	2
66	но все	8	2
67	данном случае	2	2
68	с тем	9	2
69	ее к	2	2
70	одна из	6	2
71	даже если	2	2
72	точно так	3	2
73	друг друга	5	2
74	тем что	12	2
75	перед нами	2	2
76	вопрос о	5	2
77	в одном	2	2
78	его в	17	2
79	не имеет	4	2
80	в виде	13	2
81	ничего не	4	2
82	нет в	2	2
83	состоит из	4	2
84	в данном	3	2
85	бросается в	2	2
86	не могут	2	2
87	в ее	4	2
88	но эта	2	2
89	что все	4	2
90	а как	3	2
91	говорит о	4	2
92	о том	11	2
93	что и	11	2
94	ни в	2	2
95	не в	11	2
96	и здесь	12	2
97	это уже	2	2
98	потому что	18	2
99	что этот	5	2
100	голод и	2	2
101	в частности	9	2
102	как у	2	2
103	в таком	2	2
104	так что	2	2
105	он не	5	2
106	под влиянием	2	2
107	в самую	2	2
108	уже не	14	2
109	что она	3	2
110	ее за	2	2
111	и это	5	2
112	в том	13	2
113	но при	2	2
114	как говорит	3	2
115	не мог	3	2
116	еще в	2	2
117	его за	2	2
118	с его	3	2
119	во сне	5	2
120	он был	2	2
121	в это	3	2
122	отношение к	3	2
