N	2gram	Berdyaev_N	Vladivir
1	и в	16	116
2	то что	4	71
3	и не	11	67
4	не только	5	65
5	у него	2	65
6	в этом	7	53
7	в том	8	52
8	том что	2	51
9	что в	9	48
10	но и	3	47
11	и с	2	39
12	сказать что	3	36
13	и даже	2	36
14	потому что	4	33
15	не может	16	31
16	о том	4	30
17	никогда не	6	29
18	а в	2	27
19	не было	4	26
20	в то	2	25
21	но в	2	25
22	в себе	2	25
23	может быть	7	23
24	он не	8	23
25	ни в	6	22
26	в своей	3	21
27	вместе с	2	21
28	прежде всего	4	20
29	и что	2	20
30	и потому	4	19
31	так и	2	19
32	не менее	4	19
33	не в	6	18
34	как это	2	18
35	как и	7	18
36	хотя и	2	18
37	с его	6	18
38	а не	17	17
39	уже не	2	16
40	совсем не	12	16
41	к тому	3	16
42	и все	4	16
43	не есть	3	16
44	но это	6	15
45	это было	3	15
46	и к	5	15
47	все эти	2	14
48	и на	2	14
49	так же	2	13
50	с тем	3	13
51	и от	2	13
52	жизни и	8	13
53	в нем	5	12
54	и это	2	12
55	я не	2	11
56	все это	5	11
57	это есть	7	11
58	хотя бы	2	11
59	такого рода	2	10
60	в ней	5	10
61	что все	2	10
62	в истории	3	10
63	в россии	3	10
64	можно было	2	10
65	еще не	3	10
66	но не	2	10
67	это не	4	9
68	смысле слова	3	9
69	по существу	2	9
70	с этим	2	9
71	с другой	3	9
72	не будет	7	9
73	этом смысле	2	9
74	xix века	5	8
75	себя в	2	8
76	должно быть	4	8
77	как в	3	8
78	и для	4	8
79	значит что	4	8
80	конечно не	3	8
81	в смысле	2	8
82	не имеет	4	7
83	того чтобы	2	7
84	и мы	4	7
85	за пределы	3	7
86	и есть	10	7
87	в них	4	7
88	по своему	4	6
89	время как	2	6
90	другой стороны	2	6
91	что она	2	6
92	мысли и	2	6
93	такой же	2	6
94	мы не	2	6
95	в жизни	5	6
96	но я	2	6
97	но она	2	5
98	вопрос о	3	5
99	быть в	2	5
100	она не	3	5
101	место в	2	5
102	во всех	3	5
103	жизни в	3	5
104	не к	2	5
105	к богу	2	4
106	истории в	5	4
107	человека и	3	4
108	но для	2	4
109	в духе	3	4
110	бога и	3	4
111	наряду с	3	4
112	это и	2	4
113	не могли	2	4
114	одной стороны	2	4
115	когда мы	2	4
116	и весь	2	4
117	лишь в	6	4
118	ни к	2	4
119	с одной	2	4
120	том чтобы	2	4
121	нет и	2	4
122	на путях	2	4
123	в будущем	2	3
124	не имеют	2	3
125	который в	2	3
126	роль в	2	3
127	в природе	2	3
128	не могла	2	3
129	же как	2	3
130	не будут	2	3
131	в свои	2	3
132	вернуться к	2	3
133	с их	2	3
134	если нет	2	3
135	во имя	15	3
136	в обществе	2	3
137	том и	2	3
138	в мире	3	3
139	думать что	2	3
140	мир и	2	3
141	что такое	3	3
142	и материального	2	3
143	не существует	3	3
144	к жизни	3	3
145	в новом	2	3
146	как будто	2	3
147	бытия в	2	2
148	жизни все	2	2
149	образ мыслей	2	2
150	одна из	2	2
151	к более	2	2
152	в эпоху	9	2
153	xviii века	2	2
154	стремится к	3	2
155	времени в	2	2
156	мира и	2	2
157	и заключается	2	2
158	в ее	3	2
159	должна быть	3	2
160	духа и	3	2
161	в основе	3	2
162	духовного и	2	2
163	и должно	2	2
164	истории и	9	2
165	с ее	5	2
166	еще до	2	2
167	как не	8	2
168	все они	2	2
169	стремиться к	2	2
170	от всякого	2	2
171	и пр	3	2
172	не знал	2	2
173	заключается что	2	2
174	в русском	2	2
175	можно назвать	2	2
176	в высшей	6	2
