N	2gram	Bakhtin_Pr	Hudozhes
1	то есть	3	26
2	в мире	7	24
3	и в	64	23
4	не только	26	20
5	в том	12	20
6	может быть	43	19
7	при этом	8	19
8	и не	55	16
9	но и	26	14
10	в рамках	2	13
11	а в	10	13
12	в себе	11	13
13	я в	2	13
14	но не	12	13
15	а не	29	13
16	то же	18	12
17	в этом	33	12
18	и его	21	12
19	так и	8	12
20	как бы	33	11
21	точки зрения	31	11
22	в его	30	11
23	но в	14	10
24	по отношению	12	10
25	отношению к	12	10
26	не в	15	9
27	том что	8	9
28	не может	26	9
29	с другой	7	9
30	в то	15	8
31	себя в	3	8
32	в самом	17	7
33	отношение к	4	7
34	я и	2	7
35	лишь в	4	7
36	в своей	11	7
37	только в	13	7
38	же время	13	7
39	что в	11	7
40	отличие от	4	7
41	в отличие	4	7
42	в основе	4	7
43	более или	4	6
44	уже не	15	6
45	другой стороны	6	6
46	приводит к	8	6
47	в нем	28	6
48	можно сказать	2	6
49	в ее	2	6
50	художественного творчества	5	6
51	с его	11	6
52	или менее	4	6
53	ни в	5	5
54	с другими	8	5
55	могут быть	9	5
56	в художественном	6	5
57	между ними	6	5
58	и одновременно	3	5
59	как к	3	5
60	того чтобы	2	5
61	в виду	3	5
62	в их	6	5
63	героя и	14	5
64	слова как	3	5
65	что он	15	5
66	не на	7	5
67	то что	21	5
68	не менее	3	5
69	прежде всего	16	5
70	того что	3	5
71	для него	23	5
72	в слове	3	4
73	личности в	4	4
74	сказать что	4	4
75	в отношении	5	4
76	его в	8	4
77	далеко не	7	4
78	это не	12	4
79	для себя	3	4
80	к тому	4	4
81	речи и	4	4
82	на почве	5	4
83	между тем	7	4
84	во времени	3	4
85	входит в	9	4
86	в данном	2	4
87	в форме	8	4
88	художественного произведения	2	4
89	в другом	3	4
90	не знает	6	4
91	однако в	3	4
92	порядка в	3	4
93	и как	9	4
94	еще не	10	4
95	к которому	2	4
96	и что	5	4
97	в этих	5	4
98	он не	14	4
99	и о	7	4
100	отношения к	5	4
101	например в	5	4
102	в себя	6	4
103	в своем	12	4
104	хотя и	5	4
105	даже в	6	3
106	одного сознания	9	3
107	в художественной	2	3
108	в жизни	5	3
109	к нему	11	3
110	и для	7	3
111	в произведении	7	3
112	и ее	5	3
113	герой не	2	3
114	за пределами	2	3
115	произведения как	2	3
116	внешнего мира	3	3
117	автора и	7	3
118	в романе	12	3
119	в точке	2	3
120	в контексте	2	3
121	как и	25	3
122	того же	3	3
123	их в	8	3
124	потому что	8	3
125	по преимуществу	2	3
126	слова в	12	3
127	в целом	8	3
128	в противоположность	2	3
129	и к	5	3
130	во всех	4	3
131	тем не	2	3
132	а именно	2	3
133	из этих	3	3
134	связи с	3	3
135	и на	16	3
136	тому как	3	3
137	если бы	12	3
138	в той	5	3
139	как раз	9	3
140	с точки	21	3
141	для автора	4	3
142	он должен	2	3
143	подобно тому	3	3
144	или даже	2	3
145	себя и	5	3
146	с этой	2	3
147	таким образом	15	3
148	в таком	3	3
149	и сам	6	3
150	есть в	2	3
151	в которой	2	3
152	во всей	3	3
153	в рассказе	2	3
154	была бы	5	3
155	в узком	2	3
156	этом смысле	12	3
157	на языке	2	3
158	отношении к	5	3
159	в пределах	24	3
160	в одном	20	3
161	известной степени	2	3
162	но он	4	3
163	в структуре	3	3
164	никогда не	11	2
165	самим собою	3	2
166	о том	5	2
167	для понимания	4	2
168	в литературе	4	2
169	одна из	5	2
170	как в	7	2
171	и др	7	2
172	одно из	2	2
173	и это	8	2
174	ее в	3	2
175	тому что	3	2
176	автора как	5	2
177	и потому	7	2
178	то в	2	2
179	высказывания и	3	2
180	идет о	5	2
181	вследствие этого	2	2
182	в самой	9	2
183	слова не	2	2
184	что такое	2	2
185	или в	7	2
186	именно в	5	2
187	художественного мира	5	2
188	но как	4	2
189	все эти	13	2
190	не всегда	2	2
191	о себе	19	2
192	человека и	2	2
193	мира и	7	2
194	ни был	2	2
195	героя как	2	2
196	времени и	2	2
197	образом и	4	2
198	оно не	3	2
199	что она	7	2
200	с их	7	2
201	к чужому	8	2
202	за пределы	7	2
203	быть и	2	2
204	совпадает с	2	2
205	не входит	5	2
206	этой точки	2	2
207	не как	20	2
208	с самим	3	2
209	так же	8	2
210	из тех	2	2
211	отличается от	5	2
212	об этом	3	2
213	может служить	3	2
214	из которых	3	2
215	но на	3	2
216	между собой	2	2
217	он и	8	2
218	я не	6	2
219	один из	3	2
220	на котором	3	2
221	в них	5	2
222	по себе	16	2
223	в пространстве	3	2
224	к более	2	2
225	сама по	5	2
226	не могло	2	2
227	несмотря на	7	2
228	на мир	6	2
229	на этом	2	2
230	тем или	2	2
231	каждая из	2	2
232	это и	5	2
233	слова и	8	2
234	мира в	5	2
235	все это	9	2
236	к другому	6	2
237	с ними	2	2
238	в сторону	2	2
239	бы не	2	2
240	что и	7	2
241	всей его	2	2
242	то ни	3	2
243	от своего	2	2
244	могут оказаться	2	2
245	ни было	4	2
246	и особенно	2	2
247	в одно	4	2
248	одним из	7	2
249	к своему	2	2
250	нового времени	3	2
251	в формах	3	2
252	своей жизни	2	2
253	самом деле	10	2
254	совершенно иной	2	2
255	этого слова	3	2
256	в нашем	2	2
257	в этой	5	2
258	а с	2	2
259	жизни а	3	2
260	с ним	8	2
261	что может	4	2
262	превращается в	5	2
263	в какой	2	2
264	вовсе не	12	2
265	если мы	3	2
266	том и	2	2
267	у него	11	2
268	бы то	3	2
269	при условии	2	2
270	при всей	2	2
271	здесь не	7	2
