N	2gram	Trubetskoy	KulturaY
1	и в	26	84
2	в том	11	74
3	потому что	7	68
4	не только	10	60
5	точки зрения	13	59
6	в этом	15	57
7	и не	8	52
8	может быть	10	47
9	том что	7	44
10	того чтобы	5	44
11	что в	9	44
12	для того	5	41
13	в самом	4	41
14	хотя бы	3	37
15	так как	9	36
16	с точки	6	36
17	в области	9	34
18	таким образом	22	33
19	а не	5	33
20	если бы	3	32
21	не в	2	30
22	прежде всего	2	30
23	в его	5	30
24	все же	6	29
25	того что	3	28
26	не менее	3	28
27	все эти	6	28
28	в силу	5	26
29	уже не	3	26
30	не может	4	25
31	то что	7	25
32	еще не	2	24
33	с другой	8	24
34	так и	6	23
35	то же	4	23
36	только в	4	23
37	тем не	3	21
38	во всяком	6	20
39	но и	9	20
40	и что	4	20
41	что он	4	19
42	но в	7	19
43	о том	6	19
44	всяком случае	6	19
45	между тем	2	18
46	связи с	9	18
47	все это	6	18
48	в качестве	3	18
49	к тому	6	18
50	с тем	18	18
51	как бы	12	18
52	и с	10	18
53	вместе с	15	18
54	что это	3	17
55	в виду	2	16
56	в русском	2	16
57	что и	6	16
58	тот же	2	16
59	но не	8	16
60	один из	2	15
61	а в	4	15
62	при этом	3	15
63	целый ряд	4	15
64	лишь в	5	15
65	именно в	2	15
66	не было	2	15
67	как на	8	15
68	в них	2	14
69	в связи	3	14
70	сказать что	2	14
71	мы имеем	2	14
72	отношению к	3	14
73	сих пор	5	14
74	и на	2	14
75	до сих	5	14
76	не могут	2	13
77	по существу	2	13
78	крайней мере	5	13
79	по крайней	5	13
80	в этой	4	13
81	в которых	4	13
82	для этого	2	12
83	с этой	3	12
84	того же	6	12
85	тогда когда	2	12
86	в рамках	3	12
87	в результате	3	12
88	ясно что	3	12
89	или иной	2	11
90	в своем	3	11
91	те же	2	11
92	из этих	10	11
93	в нем	4	11
94	этом отношении	2	11
95	и здесь	2	11
96	и если	3	11
97	уже в	2	11
98	он не	4	11
99	так же	5	10
100	в то	4	10
101	к этому	3	10
102	в общем	8	10
103	несмотря на	6	10
104	конечно не	2	10
105	не потому	2	9
106	что все	4	9
107	и для	5	9
108	можно сказать	3	9
109	а также	2	9
110	в которой	3	9
111	не имеет	5	9
112	на то	2	9
113	что мы	2	9
114	мы видели	2	8
115	тех пор	2	8
116	состоит в	2	8
117	с одной	7	8
118	и о	3	8
119	с его	2	8
120	и как	3	8
121	в этих	4	8
122	но все	7	8
123	далеко не	4	8
124	в таком	3	8
125	тому же	5	8
126	в свою	2	7
127	в процессе	2	7
