N	2gram	Propp_Morf	Formalny
1	и в	17	95
2	т е	25	94
3	и не	16	78
4	может быть	61	66
5	в этом	18	61
6	не может	19	57
7	и пр	45	53
8	вовсе не	6	53
9	таким образом	26	52
10	и его	3	51
11	так и	10	50
12	точки зрения	7	47
13	прежде всего	14	41
14	с точки	6	40
15	как и	4	39
16	и т	62	37
17	не в	3	35
18	а не	11	34
19	но и	9	33
20	то же	10	32
21	самом деле	4	32
22	не только	8	30
23	в пределах	3	28
24	в том	10	26
25	если бы	3	26
26	то что	10	25
27	на самом	4	24
28	связи с	12	23
29	было бы	5	23
30	в то	4	22
31	и ее	5	22
32	как бы	6	21
33	что в	10	21
34	не менее	7	20
35	с тем	2	20
36	входит в	4	20
37	как мы	8	20
38	не могут	7	19
39	все это	2	19
40	хотя бы	5	19
41	т д	60	19
42	все же	9	18
43	все эти	5	18
44	в связи	10	18
45	должна быть	2	18
46	с его	3	18
47	и их	3	18
48	только в	3	18
49	как в	5	17
50	так же	4	16
51	во всяком	2	16
52	с другой	9	16
53	потому что	7	16
54	всяком случае	2	16
55	его в	4	15
56	но в	4	15
57	бы в	2	15
58	с другими	2	15
59	так как	20	15
60	во всех	6	15
61	что он	5	14
62	в целом	5	14
63	еще не	4	14
64	в этой	3	14
65	если мы	6	14
66	в настоящее	3	13
67	настоящее время	3	13
68	со стороны	5	13
69	того что	3	13
70	а в	8	13
71	что же	2	13
72	могут быть	21	13
73	что и	10	13
74	независимо от	4	13
75	в результате	8	13
76	она не	2	13
77	тем что	4	13
78	ни в	3	13
79	как таковой	2	13
80	по отношению	7	12
81	как это	7	12
82	того чтобы	4	12
83	там где	5	12
84	и здесь	7	12
85	к тому	5	12
86	отношению к	7	12
87	и для	4	12
88	оно не	2	12
89	уже не	4	12
90	этом отношении	2	11
91	это и	3	11
92	они не	3	11
93	в основе	2	11
94	в большинстве	3	11
95	но не	8	11
96	то ни	3	11
97	что они	5	11
98	для него	2	11
99	между тем	5	11
100	друг друга	3	10
101	и др	12	10
102	мы не	8	10
103	по существу	13	10
104	бы то	3	10
105	другой стороны	5	10
106	не является	4	10
107	в первом	5	10
108	и как	6	10
109	в своих	2	10
110	главным образом	5	10
111	большинстве случаев	3	10
112	он не	5	10
113	если же	5	10
114	тем же	2	10
115	быть и	2	9
116	ничего не	5	9
117	совсем не	3	9
118	здесь не	3	9
119	но это	6	9
120	и даже	2	9
121	у нас	3	9
122	ни было	2	9
123	говорить о	4	9
124	это не	6	8
125	в других	5	8
126	между собой	5	8
127	одной стороны	2	8
128	с одной	2	8
129	что это	3	8
130	с этим	14	8
131	в данном	2	8
132	как такового	2	8
133	и к	4	8
134	роль в	2	8
135	для того	3	8
136	ясно что	5	8
137	вот как	2	7
138	том что	7	7
139	в одной	2	7
140	как таковое	3	7
141	как их	2	7
142	что именно	2	7
143	а вовсе	2	7
144	или менее	2	7
145	совершается в	2	7
146	более или	2	7
147	во втором	7	7
148	не входит	2	7
149	в сущности	3	7
150	не на	2	7
151	значение и	3	7
152	сказать что	4	7
153	к этому	4	7
154	пр и	3	7
155	и только	3	7
156	в какой	3	7
157	и более	2	7
158	но все	4	7
159	ничем не	2	7
160	из них	4	7
161	мы увидим	10	7
162	данном случае	2	6
163	в которой	3	6
164	в россии	2	6
165	на этом	4	6
166	и тем	3	6
167	в частности	2	6
168	его и	2	6
169	тому что	5	6
170	в этих	17	6
171	один из	7	6
172	как таковая	2	6
173	должны быть	2	6
174	ее в	3	6
175	из этих	2	6
176	они и	5	6
177	кроме того	3	6
178	но для	3	6
179	не по	2	6
180	например в	2	6
181	о том	6	6
182	их в	2	6
183	если он	2	6
184	в плоскости	3	6
185	по их	5	6
186	учение о	5	6
187	мы должны	3	5
188	от того	4	5
189	или же	7	5
190	мы уже	4	5
191	показать что	4	5
192	одной из	2	5
193	так например	3	5
194	не так	2	5
195	без всякой	2	5
196	то это	5	5
197	и по	3	5
198	даже не	3	5
199	можно сказать	2	5
200	хотя и	5	5
201	если в	7	5
202	не от	2	5
203	то в	3	5
204	как например	2	5
205	мы можем	5	5
206	как они	2	5
207	с этой	3	5
208	для нас	2	5
209	к нему	3	5
210	не имеет	2	5
211	приводит к	3	5
212	тому как	5	5
213	и что	3	5
214	же в	3	5
215	в нашем	6	5
216	вопрос о	10	5
217	от него	2	4
218	а на	3	4
219	увидим что	2	4
220	является в	2	4
221	одним из	2	4
222	он должен	3	4
223	героя в	5	4
224	на котором	4	4
225	в основу	2	4
226	от других	2	4
227	или в	6	4
228	и тогда	3	4
229	одна из	5	4
230	могла бы	4	4
231	не значит	3	4
232	тех же	4	4
233	к ней	3	4
234	тем не	7	4
235	на него	4	4
236	целый ряд	3	4
237	превращается в	2	4
238	та же	3	4
239	и другие	6	4
240	в последнем	3	4
241	это положение	2	4
242	но если	10	4
243	или на	3	4
244	в ином	3	4
245	наука о	2	4
246	сам он	3	4
247	подобно тому	6	4
248	что такое	3	4
249	этот вопрос	4	4
250	и этим	7	4
251	к другому	2	4
252	в некоторых	4	4
253	лишь с	2	4
254	в каких	2	4
255	в нее	2	3
256	перед нами	14	3
257	всех других	2	3
258	а и	3	3
259	том как	2	3
260	в каком	2	3
261	то мы	5	3
262	не всегда	10	3
263	и при	3	3
264	и иных	2	3
265	вопроса о	3	3
266	что о	2	3
267	но как	3	3
268	и этот	2	3
269	для этой	3	3
270	в в	2	3
271	состоит в	3	3
272	ни одна	4	3
273	в различных	2	3
274	и вне	3	3
275	смысле слова	4	3
276	на его	5	3
277	мы видим	15	3
278	в качестве	8	3
279	поставить вопрос	2	3
280	вряд ли	2	3
281	нашей работы	2	3
282	если они	2	3
283	же происходит	2	3
284	это было	3	3
285	в данной	2	3
286	и тот	2	3
287	во второй	2	3
288	следующим образом	4	3
289	на первый	3	3
290	иногда и	2	3
291	в чем	2	3
292	в форме	6	3
293	или другой	2	3
294	не с	2	3
295	вытекает из	2	3
296	вообще не	2	3
297	на то	3	3
298	он может	2	3
299	если это	3	3
300	перейти к	2	3
301	и функции	3	3
302	в которых	2	3
303	или наоборот	2	3
304	в одном	2	3
305	приходим к	3	3
306	можно назвать	3	3
307	ту же	2	3
308	что эта	2	3
309	не происходит	3	3
310	но оно	2	3
311	тем и	2	3
312	что при	3	3
313	но они	2	3
314	за ней	2	3
315	возникает вопрос	3	2
316	вывод что	2	2
317	мы приходим	3	2
318	основные элементы	2	2
319	в тех	8	2
320	эти формы	2	2
321	или с	3	2
