N	3gram	Losev_Dial	Istorich
1	и т д	38	142
2	с другой стороны	3	46
3	мы видим что	2	30
4	с одной стороны	3	28
5	так же как	2	27
6	в том что	12	25
7	не может быть	12	24
8	тем не менее	10	23
9	точно так же	3	22
10	о том что	6	22
11	в связи с	3	17
12	в данном случае	3	15
13	о том как	2	15
14	на то что	3	14
15	в то время	6	13
16	то время как	6	13
17	что иное как	6	11
18	т е в	4	11
19	не что иное	6	11
20	как и в	3	10
21	подобно тому как	5	8
22	в зависимости от	3	8
23	во всяком случае	3	7
24	этой точки зрения	4	6
25	но это не	2	6
26	с этой точки	4	6
27	к тому же	2	6
28	мы не можем	2	6
29	это значит что	25	6
30	есть не что	3	5
31	т д в	2	5
32	т д и	8	5
33	не то же	2	4
34	иметь в виду	3	4
35	содержит в себе	2	4
36	то это значит	4	4
37	это и есть	4	4
38	он не может	3	4
39	но они не	2	4
40	с точки зрения	25	4
41	сами по себе	3	4
42	и тем не	2	4
43	так или иначе	2	4
44	и то же	2	3
45	бы то ни	2	3
46	только тогда когда	6	3
47	не только не	7	3
48	как только мы	3	3
49	и не только	5	3
50	руки и ноги	2	3
51	к тому что	2	3
52	не в том	5	3
53	само по себе	8	3
54	то и другое	2	2
55	а не только	2	2
56	в самом деле	6	2
57	сам по себе	6	2
58	не значит что	2	2
59	т е не	4	2
60	сама по себе	11	2
61	по себе а	2	2
62	то ясно что	3	2
63	ничего не говорит	5	2
64	все это не	2	2
65	т е что	8	2
66	не потому что	2	2
67	хотя и не	2	2
68	не могут быть	3	2
69	ясно что это	2	2
70	не говорит о	3	2
71	и прежде всего	6	2
72	из того что	2	2
73	не было ни	2	2
74	на первый план	4	2
75	вовсе не в	3	2
76	это было бы	3	2
77	с тех пор	2	2
78	что это не	3	2
79	одно и то	2	2
80	и той же	4	2
81	легко заметить что	2	2
82	ничего не говорят	3	2
83	кроме того есть	2	2
84	потому что мы	2	2
85	но то что	2	2
86	в таком случае	11	2
87	одной и той	4	2
88	в виду что	2	2
89	равно как и	2	2
