N	2gram	Bakhtin_fo	KFilosof
1	может быть	18	45
2	в его	19	42
3	в нем	28	32
4	не может	8	29
5	и не	19	28
6	и в	84	28
7	по отношению	3	26
8	в котором	8	24
9	отношению к	5	22
10	в себе	7	21
11	и его	26	18
12	только в	12	18
13	в своем	8	17
14	в ее	6	17
15	а не	7	17
16	в этом	41	15
17	не в	10	13
18	для него	5	13
19	точки зрения	14	13
20	но не	9	12
21	и это	5	12
22	ни в	9	12
23	мир в	6	12
24	в своей	2	11
25	во всех	13	11
26	все эти	12	11
27	это не	8	10
28	его целом	2	10
29	в целом	2	10
30	и для	12	10
31	все это	10	10
32	с точки	9	10
33	бытия и	2	10
34	и есть	3	10
35	в их	9	9
36	но и	14	9
37	как бы	11	9
38	и все	10	9
39	момент его	2	9
40	себя в	2	8
41	если бы	6	8
42	не было	8	8
43	лишь в	8	8
44	быть только	4	8
45	в мире	4	8
46	жизни и	12	8
47	было бы	2	8
48	в себя	3	8
49	для себя	8	7
50	и здесь	2	7
51	должен быть	2	7
52	совершенно не	3	7
53	то что	13	7
54	уже не	5	7
55	отнюдь не	7	7
56	конечно не	7	7
57	и только	3	7
58	что и	5	7
59	во всем	3	7
60	момент в	2	7
61	вовсе не	20	7
62	на основе	5	7
63	этот момент	2	7
64	должно быть	6	6
65	менее всего	2	6
66	отношение к	5	6
67	но эта	5	6
68	мира в	6	6
69	в том	16	6
70	но все	6	6
71	не имеет	5	6
72	в смысле	5	6
73	место в	4	6
74	и их	11	6
75	он не	6	6
76	никогда не	8	5
77	его в	8	5
78	все же	12	5
79	не только	16	5
80	мы имеем	2	5
81	хотя бы	2	5
82	то же	18	5
83	жизни в	11	5
84	еще не	8	5
85	не знает	4	5
86	а в	6	5
87	но в	16	5
88	событие в	2	5
89	как и	15	5
90	именно в	5	5
91	время и	4	5
92	жизни как	2	5
93	в одном	10	5
94	там где	4	5
95	себя и	6	5
96	с ним	5	5
97	в основе	9	5
98	в каком	2	4
99	нет в	2	4
100	том что	7	4
101	что в	9	4
102	не как	2	4
103	и т.д	2	4
104	и весь	2	4
105	времени и	10	4
106	чем не	5	4
107	прежде всего	28	4
108	в чем	3	4
109	и момент	3	4
110	здесь мы	4	4
111	к ним	3	4
112	мира и	6	4
113	входит в	3	4
114	места в	2	4
115	для нас	2	4
116	в действительной	2	4
117	при этом	8	4
118	во всей	3	4
119	как его	3	4
120	до конца	5	3
121	лежат в	2	3
122	ничего не	9	3
123	в то	13	3
124	здесь не	5	3
125	человека и	15	3
126	всех этих	9	3
127	в каждом	2	3
128	этого мира	5	3
129	когда я	2	3
130	в другом	2	3
131	тем что	4	3
132	моменты и	2	3
133	та же	4	3
134	для того	12	3
135	где он	2	3
136	эти моменты	3	3
137	самом деле	2	3
138	в виду	5	3
139	людей и	2	3
140	себе и	4	3
141	лишь как	3	3
142	для которой	2	3
143	и тот	2	3
144	и пр	2	3
145	с человеком	2	3
146	в корне	2	3
147	по своему	3	3
148	его жизни	11	3
149	нет и	4	3
150	о том	4	3
151	в ней	4	3
152	в свою	2	3
153	вступает в	2	3
154	могут быть	7	3
155	но для	2	3
156	и этим	2	3
157	тогда когда	2	3
158	и та	2	3
159	здесь нет	3	3
160	и совершенно	3	3
161	ее целом	2	3
162	и на	13	3
163	что не	3	3
164	того что	5	3
165	мы не	4	3
166	той или	3	3
167	и может	2	3
168	был бы	3	3
169	не быть	3	3
170	жизни но	7	3
171	рядом с	4	3
172	но конечно	3	3
173	тот же	4	3
174	отсюда и	3	3
175	а следовательно	4	3
176	быть и	4	3
177	ясно что	2	3
178	не о	2	2
179	и то	5	2
180	других для	2	2
181	в соответствии	2	2
182	смысла и	2	2
183	или иной	4	2
184	и потому	4	2
185	бы он	2	2
186	в данном	4	2
187	его к	2	2
188	место и	3	2
189	его с	2	2
190	его на	3	2
191	как оно	2	2
192	и принципиально	2	2
193	и ее	4	2
194	видения и	4	2
195	и эта	2	2
196	дело в	3	2
197	к этому	5	2
198	вопрос о	2	2
199	это было	2	2
200	в это	5	2
201	с ее	7	2
202	к себе	8	2
203	из нее	2	2
204	и как	12	2
205	пространства и	6	2
206	весь мир	3	2
207	всей его	2	2
208	а как	3	2
209	и других	5	2
210	все они	4	2
211	одного и	6	2
212	герой и	2	2
213	он ни	2	2
214	что он	2	2
215	вследствие этого	4	2
216	со всеми	4	2
217	этот мир	2	2
218	или как	5	2
219	всех его	2	2
220	так и	17	2
221	этом мире	7	2
222	ни к	3	2
223	было и	4	2
224	жизнь и	4	2
225	его и	2	2
226	нем не	3	2
227	в жизни	6	2
228	с тем	5	2
229	как в	10	2
230	и оформления	2	2
231	от этого	4	2
232	в него	2	2
233	одна и	2	2
234	где она	2	2
235	она не	2	2
236	единства и	2	2
237	и время	2	2
238	выход из	2	2
239	и смысл	2	2
240	еще более	7	2
241	ему в	3	2
242	оно не	3	2
243	имеем в	3	2
244	соответствии с	2	2
245	есть именно	2	2
246	причастен и	2	2
247	если не	3	2
248	в процессе	4	2
249	один из	5	2
250	по себе	3	2
251	потому что	11	2
252	подхода к	3	2
253	совсем не	4	2
254	и всех	2	2
255	которой он	3	2
256	раз и	3	2
257	того чтобы	11	2
258	и видения	3	2
259	и того	7	2
260	ведь это	2	2
261	дан в	3	2
262	в качестве	6	2
263	же время	13	2
264	человек и	2	2
265	дело здесь	2	2
266	этого слова	2	2
267	в этой	3	2
268	ни был	2	2
269	с его	10	2
