N	2gram	Losev_Vesc	Freidism
1	и не	57	34
2	таким образом	16	34
3	точки зрения	10	31
4	не может	44	30
5	и пр	10	29
6	– это	4	29
7	может быть	37	28
8	и в	44	28
9	в этом	17	28
10	прежде всего	17	26
11	в его	5	25
12	и его	4	22
13	это –	38	22
14	мы можем	4	20
15	как бы	19	19
16	как мы	6	18
17	– в	13	17
18	то что	47	17
19	вовсе не	11	16
20	так как	17	15
21	точка зрения	5	15
22	с точки	6	15
23	все эти	5	15
24	самом деле	7	14
25	так и	4	14
26	в своей	6	14
27	с ним	8	14
28	во всех	5	13
29	и все	6	13
30	но в	8	13
31	как и	15	13
32	и потому	8	12
33	том что	13	12
34	– не	11	12
35	то же	12	12
36	что он	7	12
37	мы видели	3	12
38	ни в	11	12
39	в самом	13	12
40	для него	8	12
41	все это	7	12
42	сказать что	21	11
43	его в	8	11
44	только в	23	11
45	никогда не	5	10
46	и с	11	10
47	не только	48	10
48	но и	19	10
49	не в	14	10
50	он не	4	10
51	в том	15	10
52	мы уже	3	10
53	все что	3	10
54	один из	5	10
55	что же	17	10
56	тот же	4	10
57	конечно не	2	10
58	мы должны	5	9
59	к этому	2	9
60	совершенно не	11	9
61	к нему	3	9
62	в чем	10	9
63	уже не	15	9
64	и на	2	9
65	мы не	8	9
66	а не	34	9
67	во всяком	4	9
68	с его	2	9
69	– только	4	8
70	все же	18	8
71	с этим	4	8
72	– все	2	8
73	было бы	24	8
74	оно и	4	8
75	и вот	4	8
76	еще не	12	8
77	с другими	8	8
78	а в	6	8
79	в ней	14	8
80	на этом	4	8
81	всяком случае	2	8
82	в каком	6	7
83	в жизни	5	7
84	в то	11	7
85	в себе	23	7
86	что в	11	7
87	и ее	19	7
88	– и	2	7
89	хотя бы	9	7
90	и для	13	7
91	отношение к	4	7
92	быть и	5	7
93	я и	8	7
94	не является	3	7
95	того что	16	7
96	и у	4	7
97	но не	9	7
98	что все	2	7
99	об этом	5	7
100	в нем	6	7
101	если мы	12	7
102	из них	7	7
103	и прежде	2	7
104	– с	2	7
105	жизни и	6	7
106	в этой	4	7
107	одно из	2	6
108	для этого	5	6
109	мы имеем	8	6
110	человека и	3	6
111	сознания и	2	6
112	не менее	11	6
113	для того	3	6
114	и только	11	6
115	и о	4	6
116	если он	3	6
117	– как	8	6
118	она не	9	6
119	к тому	3	6
120	не можем	3	6
121	что такое	20	6
122	можно сказать	8	6
123	чем же	5	6
124	ни о	3	6
125	в свою	5	6
126	совсем не	2	6
127	как раз	16	6
128	и что	22	6
129	же время	4	6
130	учение о	2	6
131	в основе	4	6
132	оно –	6	5
133	что это	18	5
134	ничего не	12	5
135	со стороны	9	5
136	что она	23	5
137	в которой	5	5
138	другими словами	9	5
139	от того	7	5
140	между ними	6	5
141	чем не	2	5
142	как это	4	5
143	конечно и	2	5
144	что и	11	5
145	тому что	2	5
146	в более	2	5
147	далеко не	2	5
148	в своих	3	5
149	только то	4	5
150	это не	9	5
151	той же	2	5
152	отнюдь не	8	5
153	того чтобы	4	5
154	не было	4	5
155	в ее	8	5
156	с ними	4	5
157	он сам	2	5
158	и до	6	5
159	говорить о	9	5
160	заключается в	3	5
161	во внутреннем	2	5
162	в себя	13	5
163	вместе с	4	5
164	данном случае	2	4
165	одна из	6	4
166	и вообще	6	4
167	так же	4	4
168	нисколько не	7	4
169	но это	14	4
170	в собственном	3	4
171	мысли и	5	4
172	с ее	10	4
173	в другом	3	4
174	тем не	11	4
175	на него	3	4
176	этом отношении	2	4
177	если бы	8	4
178	это вовсе	2	4
179	и может	3	4
180	в виду	2	4
181	это только	2	4
182	но ведь	2	4
183	свою очередь	5	4
184	только на	3	4
185	у него	3	4
186	как в	3	4
187	к ней	4	4
188	между собой	2	4
189	в своем	9	4
190	только с	3	4
191	и оно	4	4
192	учения об	3	4
193	а только	3	4
194	в котором	4	4
195	потому что	25	4
196	именно в	2	4
197	как с	7	4
198	а потому	2	4
199	этот вопрос	6	4
200	что оно	10	4
201	выражение в	3	4
202	не существует	4	4
203	главным образом	3	4
204	же –	3	4
205	мы находим	5	4
206	по себе	22	4
207	в целом	3	4
208	нет и	4	4
209	должны быть	6	4
210	только как	2	4
211	сам по	4	4
212	это учение	4	4
213	себя и	8	4
214	то ни	13	4
215	это и	12	4
216	в истории	3	4
217	в данном	6	4
218	слова и	7	4
219	на язык	3	4
220	я не	7	4
221	сводится к	4	4
222	и то	14	3
223	и от	4	3
224	в свой	2	3
225	и притом	4	3
226	все то	2	3
227	миф и	2	3
228	о них	4	3
229	независимо от	5	3
230	жизни в	3	3
231	не сможет	2	3
232	нуждается в	2	3
233	другой –	2	3
234	в результате	9	3
235	к себе	4	3
236	и даже	12	3
237	тем же	2	3
238	и как	12	3
239	и таким	2	3
240	видели что	3	3
241	себя с	5	3
242	как не	2	3
243	этих двух	2	3
244	на все	2	3
245	у нас	9	3
246	и со	2	3
247	на две	2	3
248	или как	3	3
249	и ни	3	3
250	себе и	2	3
251	же мы	2	3
252	ведь и	6	3
253	и следовательно	20	3
254	нет никакого	3	3
255	не так	2	3
256	из наиболее	2	3
257	ни на	7	3
258	от всех	5	3
259	на этой	2	3
260	о том	11	3
261	это уже	2	3
262	и она	3	3
263	один и	2	3
264	оно может	3	3
265	если это	4	3
266	того же	5	3
267	на почве	6	3
268	собственном смысле	4	3
269	оно не	6	3
270	к его	2	3
271	их в	6	3
272	на себя	5	3
273	но для	2	3
274	приводит к	2	3
275	в одном	6	3
276	что мы	17	3
277	только не	5	3
278	можно ли	7	3
279	уже в	2	3
280	себя в	11	3
281	на это	5	3
282	раз и	2	3
283	находится в	4	3
284	говорит о	3	3
285	мы видим	5	3
286	когда он	2	3
287	и есть	40	3
288	а следовательно	4	3
289	и сам	3	3
290	есть только	18	3
291	выражение и	2	3
292	случае не	3	3
293	из основных	3	3
294	о которой	3	3
295	во втором	2	3
296	учение об	10	3
297	бы то	12	3
298	да и	5	2
299	в одну	2	2
300	них и	2	2
301	– совершенно	4	2
302	принципиально не	3	2
303	самого себя	2	2
304	как ее	2	2
305	в отношении	7	2
306	чтобы не	2	2
307	вопрос о	6	2
308	к личности	3	2
309	следовательно и	2	2
310	и выражение	3	2
311	о которых	2	2
312	когда мы	6	2
313	то в	4	2
314	этого нужно	2	2
315	из того	3	2
316	но эти	2	2
317	к этим	2	2
318	ли это	9	2
319	и сама	4	2
320	для нее	2	2
321	к учению	2	2
322	по преимуществу	2	2
323	же такое	4	2
324	бы и	9	2
325	дело в	6	2
326	в состоянии	2	2
327	должно быть	8	2
328	бы в	9	2
329	– а	3	2
330	превращается в	3	2
331	социального бытия	2	2
332	дело не	4	2
333	религии и	2	2
334	это было	2	2
335	не как	2	2
336	за ними	2	2
337	в науке	3	2
338	его и	4	2
339	отличается от	8	2
340	о каком	2	2
341	применении к	3	2
342	в конце	3	2
343	как к	5	2
344	есть и	13	2
345	то мы	3	2
346	для себя	6	2
347	не специально	2	2
348	должен быть	5	2
349	к делу	2	2
350	нужно сказать	2	2
351	нет это	3	2
352	конце концов	2	2
353	и самое	3	2
354	при помощи	4	2
355	и тем	7	2
356	находятся в	2	2
357	в их	4	2
358	ни было	12	2
359	но именно	3	2
360	и другие	2	2
361	и та	2	2
362	ничем не	4	2
363	для нас	2	2
364	между собою	12	2
365	что значит	8	2
366	то она	2	2
367	– мы	3	2
368	мы говорили	2	2
369	реальности и	4	2
370	нас в	3	2
371	которые мы	2	2
372	с одной	3	2
373	должна быть	8	2
374	а с	3	2
375	слово –	3	2
376	и этот	2	2
377	от этого	3	2
378	и так	2	2
379	не имеет	2	2
380	относится к	6	2
381	явлений и	3	2
382	вообще не	6	2
383	также и	9	2
384	не есть	79	2
385	говорить об	2	2
386	с другой	8	2
387	каком случае	4	2
388	учения о	2	2
389	еще более	4	2
390	элементы и	2	2
391	и явления	8	2
392	но все	3	2
393	он и	2	2
394	одной стороны	3	2
395	в применении	2	2
396	что между	2	2
397	этом смысле	2	2
398	свое выражение	3	2
399	тогда когда	5	2
400	из которых	3	2
401	и их	11	2
402	но как	3	2
403	не то	4	2
404	более подробном	2	2
405	вещи и	40	2
406	факты и	2	2
407	мог бы	7	2
408	смысл и	12	2
409	но если	12	2
410	равно как	4	2
411	идеи и	3	2
412	то или	5	2
413	себе самой	3	2
414	но когда	3	2
415	же как	3	2
416	из этого	3	2
417	и уже	2	2
418	на более	2	2
419	и во	3	2
420	для всего	2	2
421	в качестве	4	2
422	только о	2	2
423	это есть	8	2
424	в первом	2	2
425	отношения к	3	2
426	этого метода	4	2
427	если же	5	2
428	не к	3	2
429	и они	2	2
430	ясно что	10	2
431	ли мы	2	2
