N	3gram	Propp_Isto	DiskursI
1	в том что	8	28
2	по отношению к	2	17
3	с одной стороны	2	14
4	не может быть	4	12
5	в данном случае	6	12
6	о том что	3	9
7	состоит в том	2	8
8	как и в	2	7
9	к тому же	4	6
10	подобно тому как	3	5
11	не только в	3	5
12	с другой стороны	10	5
13	тем не менее	6	4
14	можно сказать что	2	4
15	в этом случае	8	4
16	содержит в себе	2	3
17	том что в	2	3
18	во всяком случае	2	3
19	что в них	2	2
20	и той же	2	2
21	как мы видели	7	2
22	в тех случаях	2	2
23	в большинстве случаев	2	2
24	это еще не	2	2
25	тех случаях когда	2	2
26	но и в	2	2
27	одной и той	2	2
28	я не знаю	3	2
29	в одном из	2	2
30	и то что	4	2
