N	3gram	Vygotskiy_	slovoVRo
1	не может быть	5	19
2	той или иной	2	15
3	с точки зрения	11	15
4	в отличие от	8	14
5	с одной стороны	8	11
6	более или менее	3	9
7	в этом случае	4	9
8	во всяком случае	10	8
9	в зависимости от	6	8
10	так и в	2	6
11	с другой стороны	5	6
12	между словом и	3	5
13	в том что	41	5
14	в этом отношении	9	5
15	хотя бы и	2	5
16	как мы уже	3	5
17	по отношению к	3	5
18	точки зрения на	2	4
19	на первый план	5	4
20	для того чтобы	14	4
21	друг с другом	10	4
22	до сих пор	3	4
23	в свою очередь	3	4
24	одно и то	6	3
25	как мы видели	4	3
26	и то же	6	3
27	включает в себя	2	3
28	как и в	3	3
29	в собственном смысле	12	3
30	в связи с	8	3
31	того или иного	2	3
32	как если бы	2	3
33	мы не знаем	2	2
34	мы не можем	2	2
35	между тем как	4	2
36	же как и	6	2
37	то же слово	3	2
38	в основе их	3	2
39	мы уже говорили	6	2
40	о том что	3	2
41	можно было бы	8	2
42	мышления и речи	25	2
43	в то время	5	2
44	в известном смысле	2	2
45	с самого начала	6	2
46	тот факт что	7	2
47	этой точки зрения	4	2
48	то время как	5	2
49	и в этом	2	2
50	с этой точки	4	2
51	имеет дело с	2	2
52	тем не менее	6	2
53	как уже сказано	7	2
54	на каждом шагу	4	2
