N	3gram	Losev_Prob	Problema
1	по отношению к	2	19
2	не может быть	2	11
3	с точки зрения	13	6
4	и прежде всего	2	5
5	с другой стороны	7	4
6	в данном случае	5	4
7	бы то ни	4	3
8	с одной стороны	5	3
9	в том что	13	3
10	может быть только	6	3
11	в этом смысле	4	3
12	в то же	2	3
13	на самом деле	2	3
14	тем не менее	8	3
15	далеко не всегда	3	3
16	можно было бы	2	3
17	то ни было	2	2
18	в коем случае	3	2
19	в какой мере	3	2
20	то же самое	2	2
21	и в частности	4	2
22	той или иной	4	2
23	в чем не	2	2
24	в этом отношении	4	2
25	не только в	5	2
26	ни в чем	2	2
27	для того чтобы	3	2
28	можно сказать что	4	2
29	но и в	2	2
30	того или иного	2	2
31	в других искусствах	2	2
32	ни в коем	3	2
