N	2gram	Berdyaev_V	Tragedij
1	и в	16	18
2	в этом	4	9
3	не только	2	8
4	и не	20	7
5	как бы	5	7
6	что он	4	6
7	но в	3	6
8	в образе	4	6
9	это не	2	5
10	как и	4	5
11	так и	4	5
12	что в	3	4
13	еще не	8	4
14	но и	5	4
15	прежде всего	2	4
16	том что	2	4
17	и что	3	4
18	и все	4	4
19	все это	5	4
20	в нем	4	4
21	что я	3	4
22	то что	9	4
23	но это	3	4
24	один из	2	3
25	к людям	6	3
26	в мире	5	3
27	в его	4	3
28	все эти	3	3
29	смысл жизни	2	3
30	и сам	2	3
31	должно быть	3	3
32	для него	2	3
33	в конце	3	3
34	с ним	2	3
35	никогда не	3	2
36	и то	2	2
37	ивана карамазова	2	2
38	с тем	2	2
39	одна из	2	2
40	тем что	2	2
41	не имеет	3	2
42	в силах	4	2
43	не могут	2	2
44	что все	4	2
45	к тому	3	2
46	что и	3	2
47	ни в	3	2
48	не в	3	2
49	потому что	4	2
50	и я	4	2
51	и за	2	2
52	бы и	3	2
53	уже не	2	2
54	и это	2	2
55	личности и	3	2
56	не так	2	2
57	в том	3	2
58	с его	3	2
