N	2gram	Propp_Isto	PoTuStor
1	может быть	22	17
2	и в	43	16
3	и пр	19	12
4	мы можем	10	9
5	в этом	25	9
6	и только	6	9
7	таким образом	15	9
8	прежде всего	3	9
9	и с	10	8
10	точки зрения	3	8
11	совершенно не	2	8
12	не может	8	8
13	и его	10	8
14	сказать что	5	7
15	не только	28	7
16	и это	5	6
17	к отцу	3	6
18	конечно не	3	6
19	и к	4	6
20	при этом	4	6
21	ни в	2	5
22	все эти	8	5
23	как бы	5	5
24	еще не	15	5
25	в чем	4	5
26	в него	3	5
27	отношение к	4	5
28	как мы	11	4
29	и на	7	4
30	все это	4	4
31	на самом	2	4
32	его в	7	4
33	в его	7	4
34	и ее	3	4
35	но и	24	4
36	и не	16	4
37	и все	4	4
38	но в	15	4
39	в этой	7	4
40	с ее	2	4
41	так как	13	4
42	и их	4	4
43	все что	4	4
44	только в	8	4
45	в нем	11	4
46	мифов и	2	4
47	хотя бы	3	4
48	с ними	5	4
49	можно сказать	3	4
50	так и	6	4
51	и даже	4	4
52	и она	5	3
53	матери и	3	3
54	что в	29	3
55	даже не	2	3
56	жизни и	2	3
57	и как	6	3
58	и потому	2	3
59	на этой	2	3
60	тех же	2	3
61	а в	13	3
62	в том	13	3
63	их в	6	3
64	по сравнению	2	3
65	и вот	3	3
66	те же	2	3
67	до сих	7	3
68	только на	2	3
69	и есть	3	3
70	во время	8	3
71	большинстве случаев	3	3
72	в большинстве	2	3
73	сравнению с	2	3
74	в этих	18	3
75	как это	5	3
76	то что	20	3
77	могут быть	9	3
78	сих пор	7	3
79	всяком случае	2	3
80	вместе с	12	3
81	в одном	9	3
82	к себе	3	3
83	и др	4	3
84	на этом	5	3
85	мы знаем	11	3
86	во всяком	2	3
87	том что	12	3
88	один из	7	2
89	никогда не	9	2
90	для нас	6	2
91	что мы	5	2
92	мы видим	15	2
93	есть и	7	2
94	на них	2	2
95	в них	6	2
96	не можем	2	2
97	в жизни	3	2
98	и действительно	5	2
99	же как	8	2
100	и для	3	2
101	и этот	2	2
102	что не	3	2
103	что это	4	2
104	другими словами	2	2
105	и по	6	2
106	вообще не	2	2
107	а на	5	2
108	что и	17	2
109	не менее	6	2
110	ее в	3	2
111	нет никаких	2	2
112	было бы	5	2
113	как не	2	2
114	о том	4	2
115	то же	11	2
116	они не	4	2
117	с этим	13	2
118	как и	9	2
119	что он	17	2
120	так же	16	2
121	в своей	4	2
122	мы не	3	2
123	это делает	2	2
124	из этих	5	2
125	но как	2	2
126	находится в	4	2
127	знаем что	9	2
128	в начале	2	2
129	с этой	3	2
130	не на	2	2
131	в частности	6	2
132	он не	11	2
133	у него	4	2
134	всю жизнь	2	2
135	ту же	2	2
136	за счет	2	2
137	и о	2	2
138	не есть	3	2
139	к этому	10	2
140	что на	6	2
141	по всему	2	2
142	связанных с	4	2
143	не знает	2	2
144	в пределах	5	2
145	и так	3	2
146	в этот	6	2
147	мы уже	9	2
148	характерно для	2	2
149	между собой	2	2
150	но это	5	2
