N	2gram	Tiupa_Vved	Myshleni
1	в том	21	195
2	в этом	27	167
3	то что	9	166
4	и в	23	162
5	том что	16	161
6	таким образом	6	147
7	что в	6	119
8	не только	32	116
9	того что	7	109
10	так же	2	100
11	потому что	7	95
12	того чтобы	2	91
13	может быть	25	89
14	что он	2	86
15	не может	14	81
16	как и	21	79
17	и не	24	78
18	только в	9	75
19	в целом	4	74
20	как мы	5	72
21	но и	31	70
22	заключается в	2	67
23	в его	9	67
24	как бы	8	64
25	вместе с	2	62
26	в качестве	18	60
27	и что	2	60
28	было бы	4	60
29	представляет собой	18	60
30	то же	8	58
31	в основе	6	58
32	могли бы	3	54
33	что мы	2	53
34	в силу	2	53
35	между собой	2	53
36	в самом	6	52
37	в сущности	3	51
38	к тому	9	49
39	что они	2	48
40	мы можем	2	48
41	тем что	2	48
42	мы не	6	47
43	на основе	2	47
44	если бы	10	46
45	но не	9	45
46	с другой	10	45
47	по отношению	11	45
48	тем самым	6	43
49	как это	2	42
50	тому что	2	42
51	отношению к	11	42
52	в ходе	3	41
53	не является	7	41
54	по своей	4	40
55	одной стороны	9	40
56	о том	7	40
57	так и	14	39
58	никогда не	6	39
59	с одной	9	39
60	в области	5	38
61	мы видели	3	38
62	не в	12	37
63	в этой	2	37
64	и к	2	37
65	в своем	9	36
66	и его	9	36
67	как в	8	36
68	а не	31	36
69	можно было	2	35
70	он не	6	35
71	в себе	15	35
72	для себя	2	35
73	и т.д	6	35
74	и как	2	34
75	связи с	2	34
76	приводит к	2	34
77	при этом	43	33
78	прежде всего	11	33
79	по себе	2	33
80	что и	6	32
81	по своему	3	32
82	же самое	2	32
83	но в	14	32
84	слова и	3	32
85	той же	3	32
86	и тем	3	32
87	и на	5	32
88	все же	10	31
89	этом отношении	7	30
90	на то	3	30
91	между тем	3	29
92	могут быть	5	29
93	как известно	2	29
94	самом деле	6	28
95	в своей	10	27
96	в результате	5	27
97	в то	5	27
98	перед нами	13	27
99	другой стороны	3	27
100	и с	2	27
101	в их	2	26
102	в частности	19	26
103	что это	2	26
104	для него	5	26
105	все это	3	25
106	по мере	2	25
107	еще не	8	25
108	уже в	2	25
109	что она	2	25
110	это не	7	25
111	в чем	2	25
112	можно сказать	6	25
113	целый ряд	2	24
114	в какой	4	24
115	в нем	9	24
116	на этот	2	24
117	в слове	4	24
118	в высшей	2	24
119	в сфере	7	24
120	как он	2	23
121	состоит в	23	23
122	бы в	4	23
123	слова в	3	23
124	высшей степени	2	22
125	во всяком	3	22
126	столь же	3	22
127	отношение к	5	21
128	и более	5	21
129	в нашем	9	21
130	к этому	3	21
131	и все	8	21
132	и ее	2	21
133	не имеет	3	21
134	в сознании	5	21
135	в котором	11	20
136	в виду	3	20
137	а в	15	20
138	к которому	2	20
139	как раз	5	20
140	в другом	2	20
141	едва ли	4	20
142	не менее	4	20
143	из этих	5	20
144	в данном	22	19
145	с ним	3	19
146	в той	5	19
147	а с	4	19
148	и по	3	19
149	в речи	3	19
150	во всех	2	19
151	мы и	2	19
152	один из	3	19
153	отличие от	11	18
154	всяком случае	3	18
155	но это	4	18
156	в отличие	11	18
157	для этого	2	17
158	и для	8	17
159	все что	3	17
160	в своих	5	17
161	в свою	5	17
162	и того	3	17
163	в одном	5	17
164	и от	3	17
165	то и	2	17
166	и есть	2	17
167	и только	2	17
168	не есть	2	17
169	в этих	5	17
170	их в	3	17
171	до конца	5	17
172	у него	8	17
173	своей природе	2	16
174	тому как	3	16
175	по поводу	5	16
176	для нас	4	16
177	к одному	2	16
178	между двумя	5	16
179	и даже	3	16
180	в которых	2	16
181	мы имеем	8	16
182	которые не	2	16
183	данном случае	15	15
184	тем более	3	15
185	те же	2	15
186	в начале	3	15
187	подобно тому	3	15
188	представить себе	2	15
189	хотя бы	2	15
190	ничего не	3	15
191	и это	2	15
192	в них	4	15
193	друг от	2	14
194	точку зрения	2	14
195	точка зрения	3	14
196	и во	2	14
197	что для	2	14
198	что у	4	14
199	очевидно что	2	14
200	который в	5	14
201	от друга	2	14
202	о чем	4	14
203	свою очередь	5	14
204	об этом	5	14
205	одним из	5	14
206	и здесь	2	14
207	не можем	2	14
208	на его	2	13
209	лишь в	4	13
210	значения и	2	13
211	имеет место	6	13
212	возникает в	2	13
213	они не	3	13
214	отнюдь не	14	13
215	к его	5	13
216	если в	3	13
217	стороны и	4	13
218	но на	2	13
219	и потому	2	12
220	и составляет	3	12
221	в первом	3	12
222	никак не	2	12
223	тем не	3	12
224	входит в	2	12
225	даже в	3	12
226	несмотря на	2	12
227	в ней	5	12
228	должны были	3	12
229	с их	2	12
230	том чтобы	2	12
231	еще более	2	12
232	на первый	3	12
233	ясно что	2	12
234	в одной	2	12
235	только на	2	12
236	к нему	2	12
237	мог бы	2	12
238	тому же	6	12
239	но он	2	12
240	на самом	5	11
241	в конце	3	11
242	идет о	3	11
243	у детей	2	11
244	а только	3	11
245	иначе говоря	8	11
246	ответ на	2	11
247	например в	2	11
248	в пределах	3	11
249	с ее	3	11
250	ключ к	2	11
251	наряду с	2	11
252	что на	4	11
253	и наконец	2	11
254	или менее	2	11
255	не знает	2	11
256	не столько	5	11
257	не по	4	11
258	обратимся к	2	11
259	есть в	2	11
260	здесь мы	2	10
261	и слова	2	10
262	у нас	4	10
263	что такое	23	10
264	о которых	2	10
265	или иной	5	10
266	вслед за	3	10
267	вместо того	2	10
268	речь идет	3	10
269	одного из	3	10
270	представляют собой	3	10
271	речевой деятельности	2	10
272	в конечном	2	10
273	всякий раз	2	10
274	на друга	2	10
275	указывает на	2	10
276	и т.п	14	10
277	внимание на	4	10
278	в случае	4	10
279	и у	2	10
280	к жизни	2	10
281	по выражению	3	10
282	не могло	2	10
283	друг на	2	10
284	такого рода	23	9
285	также и	6	9
286	еще в	3	9
287	связано с	3	9
288	хотя и	10	9
289	и он	4	9
290	как оно	2	9
291	совершенно не	2	9
292	зависит от	3	9
293	и притом	3	9
294	более или	2	9
295	оно не	2	9
296	место в	2	9
297	той или	5	9
298	что же	6	9
299	конечном счете	2	9
300	как по	2	9
301	не с	4	9
302	должен быть	3	9
303	говорить о	5	9
304	или в	3	9
305	детей в	2	8
306	что не	2	8
307	которая не	2	8
308	во время	3	8
309	со стороны	15	8
310	в современной	7	8
311	дело с	4	8
312	и др	2	8
313	в этот	3	8
314	как правило	6	8
315	должен был	2	8
316	в направлении	2	8
317	не как	2	8
318	не на	3	8
319	все равно	2	8
320	что я	2	8
321	не мог	2	8
322	том как	4	8
323	еще один	3	8
324	обратиться к	2	8
325	о котором	5	8
326	в течение	2	8
327	у них	3	7
328	которая в	3	7
329	должна быть	3	7
330	с ними	2	7
331	а также	12	7
332	в разных	2	7
333	же в	3	7
334	не существует	3	7
335	в таком	2	7
336	и сам	2	7
337	во втором	4	7
338	принадлежит к	3	7
339	в жизни	7	7
340	в значительной	2	7
341	на него	3	7
