N	3gram	Medvedev_F	Morfolog
1	и т д	11	60
2	не может быть	11	9
3	в связи с	9	9
4	по отношению к	4	7
5	с точки зрения	17	6
6	тем не менее	2	6
7	с другой стороны	4	5
8	как мы увидим	3	5
9	связи с этим	4	5
10	на самом деле	7	4
11	но все же	2	4
12	в том что	3	4
13	к тому что	3	4
14	не могут быть	4	4
15	бы то ни	4	3
16	в том случае	2	3
17	в настоящее время	11	3
18	для того чтобы	3	3
19	и пр и	4	3
20	в большинстве случаев	5	3
21	во всяком случае	6	2
22	в данном случае	2	2
23	более или менее	7	2
24	в этом отношении	7	2
25	может быть и	4	2
26	а вовсе не	2	2
27	с одной стороны	5	2
