N	2gram	Tiupa_Lite	Analitik
1	не только	29	71
2	тогда как	20	67
3	и в	26	66
4	в качестве	21	61
5	литературного произведения	4	58
6	но и	25	57
7	в том	22	52
8	может быть	24	52
9	в частности	18	51
10	в этом	19	51
11	как и	13	50
12	и не	19	48
13	в тексте	9	42
14	а не	28	42
15	том что	19	40
16	при этом	23	40
17	так и	7	35
18	то есть	11	35
19	художественного впечатления	2	34
20	в мире	9	31
21	своего рода	22	30
22	состоит в	18	30
23	коммуникативного события	8	30
24	представляет собой	5	30
25	не может	10	29
26	как бы	8	29
27	отнюдь не	4	29
28	а в	5	28
29	в его	9	27
30	и его	7	27
31	не в	11	26
32	но не	8	26
33	всего лишь	7	24
34	в себе	8	24
35	не случайно	5	24
36	художественного целого	3	24
37	иначе говоря	2	23
38	к тому	3	22
39	и даже	9	22
40	в этой	7	22
41	что в	7	22
42	лишь в	4	21
43	и т.п	14	20
44	о том	3	20
45	я в	12	20
46	по отношению	6	19
47	но в	5	19
48	в своей	5	19
49	то же	13	19
50	в самом	4	19
51	с его	5	19
52	в то	12	18
53	в данном	7	18
54	отношению к	4	18
55	тем самым	8	17
56	или иной	3	17
57	с другой	11	17
58	со стороны	6	17
59	такого рода	18	17
60	эстетического объекта	7	17
61	в целом	10	17
62	только в	8	17
63	могут быть	4	16
64	то что	14	16
65	в пределах	4	16
66	что и	3	16
67	не есть	2	15
68	в их	3	15
69	прежде всего	14	15
70	в сущности	5	15
71	в рамках	9	15
72	эстетического дискурса	2	15
73	уже не	9	15
74	и на	5	15
75	между тем	2	15
76	данном случае	6	14
77	в принципе	7	14
78	факторов художественного	2	14
79	отличие от	6	14
80	не менее	11	14
81	того же	5	14
82	мы имеем	2	14
83	себя в	7	14
84	я и	10	14
85	эстетического отношения	2	14
86	в отличие	6	14
87	далеко не	4	14
88	столь же	5	14
89	же время	12	14
90	в себя	5	14
91	ничего не	3	13
92	произведение искусства	8	13
93	точки зрения	8	13
94	в начале	4	13
95	как раз	6	13
96	для него	6	13
97	а также	5	13
98	как правило	5	13
99	в случае	5	13
100	он не	4	13
101	тому же	2	13
102	никогда не	5	12
103	есть не	2	12
104	как это	9	12
105	произведения как	2	12
106	еще не	4	12
107	как в	5	12
108	в конечном	9	12
109	сводится к	4	12
110	и сам	6	12
111	даже в	6	11
112	в свою	2	11
113	это не	4	11
114	в повестях	4	11
115	во второй	2	11
116	нуждается в	3	11
117	по своей	3	11
118	повестях белкина	2	11
119	конечном счете	8	11
120	и как	2	11
121	на наш	7	11
122	наш взгляд	7	11
123	не с	2	11
124	той же	5	11
125	имеем дело	2	11
126	в конце	6	10
127	едва ли	5	10
128	все же	6	10
129	в миропорядке	2	10
130	на себя	4	10
131	однако в	7	10
132	один из	7	10
133	было бы	4	10
134	и самого	2	10
135	и одновременно	2	10
136	подобно тому	4	10
137	с одной	9	10
138	перед лицом	2	10
139	со своей	3	10
140	в своем	12	9
141	уединенного сознания	55	9
142	того что	7	9
143	не столько	8	9
144	как уже	3	9
145	одной стороны	8	9
146	крайней мере	2	9
147	свою очередь	2	9
148	по поводу	2	9
149	особого рода	3	9
150	другой стороны	5	9
151	за пределы	3	9
152	во всех	4	9
153	в результате	2	9
154	по крайней	2	9
155	на фоне	5	9
156	в русской	13	9
157	личности в	4	9
158	тому как	4	9
159	и того	2	9
160	таким образом	4	9
