N	3gram	Vinokur_Vv	Vvedenie
1	в данном случае	4	15
2	по отношению к	4	11
3	в отличие от	4	11
4	в том что	15	10
5	с одной стороны	4	9
6	в соответствии с	2	8
7	в этом отношении	4	7
8	о том что	13	6
9	не может быть	10	6
10	в то же	6	5
11	в свою очередь	2	5
12	той или иной	3	4
13	то же время	6	4
14	подобно тому как	2	3
15	во всяком случае	5	3
16	одной стороны и	3	3
17	как мы видели	3	3
18	как будто бы	2	3
19	не только в	4	3
20	не в том	2	3
21	тем не менее	9	3
22	мере в какой	6	2
23	состоит в том	2	2
24	то же самое	3	2
25	что же касается	2	2
26	с другой стороны	5	2
27	а также и	2	2
28	в самом деле	6	2
29	в той мере	6	2
30	той мере в	6	2
31	обратим внимание на	2	2
32	в этих случаях	2	2
33	можно было бы	4	2
34	в том чтобы	5	2
