N	3gram	Tiupa_Disk	Stilisti
1	в то же	7	9
2	то же время	9	7
3	и то же	2	5
4	с точки зрения	3	5
5	одно и то	2	5
6	того или иного	2	5
7	прежде всего в	2	4
8	с самого начала	2	4
9	то же самое	2	4
10	той или иной	6	4
11	в свою очередь	3	4
12	в этом случае	3	3
13	не только в	2	3
14	которое может быть	2	3
15	и не только	2	2
16	речевого общения в	2	2
17	но при этом	3	2
18	тот или иной	2	2
19	и вследствие этого	2	2
20	и как бы	5	2
21	в этом отношении	4	2
22	в значительной степени	3	2
23	и т.п но	4	2
24	можно сказать что	3	2
25	и в то	2	2
26	по отношению к	13	2
27	о том что	8	2
28	не может быть	5	2
