N	3gram	Ircho_Kome	Freidism
1	с точки зрения	6	15
2	по отношению к	4	11
3	в самом деле	13	10
4	в том что	15	9
5	во всяком случае	3	8
6	в то же	11	6
7	в высшей степени	2	6
8	то же время	11	6
9	с самого начала	5	5
10	тем не менее	3	4
11	ни в чем	2	4
12	в чем не	2	4
13	в этом отношении	2	4
14	в свою очередь	10	4
15	бы то ни	3	3
16	и тот же	3	3
17	о том что	7	3
18	один и тот	3	3
19	для того чтобы	8	3
20	в конечном счете	2	3
21	до сих пор	12	3
22	если бы он	3	3
23	то ни было	3	2
24	то же самое	3	2
25	к этому времени	2	2
26	том что она	2	2
27	то обстоятельство что	3	2
28	в отличие от	3	2
29	в конце концов	3	2
30	с одной стороны	4	2
31	что и в	2	2
32	в чем же	2	2
33	равно как и	3	2
34	по отношению ко	2	2
