N	3gram	Ircho_Kome	slovoVRo
1	и т п	4	72
2	в то же	11	18
3	то же время	11	18
4	с точки зрения	6	15
5	в отличие от	3	14
6	с одной стороны	4	11
7	более или менее	2	9
8	в этом случае	2	9
9	во всяком случае	3	8
10	с другой стороны	2	6
11	и в то	2	6
12	но все же	3	6
13	в том что	15	5
14	в этом отношении	2	5
15	по отношению к	4	5
16	одной стороны и	2	4
17	для того чтобы	8	4
18	друг с другом	3	4
19	до сих пор	12	4
20	в известной степени	2	4
21	в свою очередь	10	4
22	но и здесь	2	3
23	в связи с	3	3
24	ни в чем	2	2
25	сих пор не	2	2
26	о том что	7	2
27	хотя и не	2	2
28	в то время	3	2
29	с самого начала	5	2
30	в чем не	2	2
31	то время как	3	2
32	тем не менее	3	2
