N	2gram	Propp_Isto	Tragedij
1	и в	41	18
2	в этом	19	9
3	не только	30	8
4	и не	12	7
5	и на	12	7
6	как бы	8	7
7	и с	4	7
8	может быть	19	7
9	что он	29	6
10	но в	7	6
11	и его	11	6
12	в образе	4	6
13	у него	16	6
14	что это	6	5
15	все же	14	5
16	это не	14	5
17	то же	12	5
18	как и	8	5
19	в дальнейшем	3	5
20	так и	8	5
21	не может	19	5
22	а я	2	5
23	в то	6	5
24	что в	21	4
25	еще не	13	4
26	в целом	2	4
27	но и	20	4
28	прежде всего	6	4
29	об этом	7	4
30	том что	18	4
31	в этой	2	4
32	и что	15	4
33	так же	6	4
34	и все	6	4
35	все это	9	4
36	в нем	12	4
37	что я	2	4
38	то что	12	4
39	но это	5	4
40	и даже	3	4
41	в себе	3	4
42	этот образ	2	4
43	один из	7	3
44	что за	3	3
45	своего рода	7	3
46	и как	3	3
47	уже в	4	3
48	тем самым	3	3
49	к нему	8	3
50	в своем	3	3
51	при этом	7	3
52	в его	4	3
53	все эти	8	3
54	и он	8	3
55	о чем	2	3
56	в основном	2	3
57	и сам	3	3
58	как будто	4	3
59	никто не	2	3
60	как в	17	3
61	как это	6	3
62	своего отца	4	3
63	что вы	2	3
64	в конце	4	3
65	с ним	9	3
66	никогда не	16	2
67	в самом	2	2
68	и то	3	2
69	но все	5	2
70	данном случае	7	2
71	с тем	8	2
72	ее к	2	2
73	одна из	7	2
74	точно так	2	2
75	друг друга	2	2
76	тем что	11	2
77	перед нами	4	2
78	вопрос о	6	2
79	в одном	2	2
80	его в	7	2
81	не имеет	6	2
82	в виде	5	2
83	ничего не	7	2
84	то и	6	2
85	нет в	2	2
86	отца и	2	2
87	превратилось в	3	2
88	в данном	8	2
89	раз он	2	2
90	не могут	3	2
91	в ее	3	2
92	но эта	2	2
93	к тому	4	2
94	а как	2	2
95	говорит о	2	2
96	о том	15	2
97	что и	13	2
98	ни в	4	2
99	тут же	2	2
100	не в	12	2
101	и здесь	13	2
102	потому что	13	2
103	вместе со	2	2
104	что этот	4	2
105	не просто	3	2
106	в частности	3	2
107	только о	2	2
108	как у	2	2
109	так что	6	2
110	он не	8	2
111	и ее	6	2
112	ничем не	2	2
113	под влиянием	2	2
114	уже не	8	2
115	из самых	2	2
116	что она	6	2
117	что эти	4	2
118	ее за	4	2
119	и это	9	2
120	знает что	2	2
121	но они	4	2
122	не так	4	2
123	этим объясняется	2	2
124	в том	14	2
125	и до	2	2
126	но при	2	2
127	не случайно	3	2
128	еще в	3	2
129	его за	2	2
130	он и	3	2
131	с его	4	2
132	во сне	2	2
133	он был	2	2
134	в это	3	2
135	отношение к	6	2
