N	3gram	Propp_Isto	Analitik
1	в том что	7	25
2	не может быть	5	19
3	по отношению к	3	18
4	о том что	9	15
5	в данном случае	7	14
6	с одной стороны	11	9
7	с другой стороны	17	9
8	в том чтобы	2	9
9	не только в	9	8
10	как и в	3	8
11	во всяком случае	3	7
12	тем не менее	4	6
13	так или иначе	2	6
14	но и в	4	5
15	в этом случае	4	5
16	в ответ на	3	4
17	дело не в	3	3
18	а в том	2	3
19	в зависимости от	3	3
20	тех случаях когда	6	2
21	на этот вопрос	3	2
22	в тех случаях	7	2
23	более или менее	3	2
24	здесь мы имеем	8	2
25	в одной из	2	2
26	можно было бы	3	2
27	этой точки зрения	3	2
28	в этих случаях	12	2
29	с этой точки	3	2
30	до сих пор	4	2
31	не знаю что	2	2
32	на первый взгляд	5	2
