N	2gram	Voloshinov	Vladivir
1	и в	12	116
2	то что	5	71
3	и не	10	67
4	не только	4	65
5	в этом	4	53
6	в том	6	52
7	том что	5	51
8	что в	2	48
9	но и	3	47
10	в его	2	40
11	и с	3	39
12	сказать что	7	36
13	не может	16	31
14	о том	3	30
15	только в	6	30
16	никогда не	5	29
17	для него	3	29
18	в то	2	25
19	но в	5	25
20	в себе	3	25
21	и то	2	25
22	а к	2	25
23	и его	13	25
24	точки зрения	14	23
25	может быть	14	23
26	он не	2	23
27	так как	9	22
28	кроме того	2	22
29	ни в	3	22
30	в своей	3	21
31	вместе с	2	21
32	в своем	2	20
33	прежде всего	8	20
34	для нас	7	20
35	и что	2	20
36	и потому	2	19
37	и вообще	3	19
38	так и	4	19
39	не менее	3	19
40	таким образом	12	19
41	тем не	3	19
42	не в	4	18
43	как это	2	18
44	как и	5	18
45	с его	2	18
46	едва ли	2	17
47	что и	2	17
48	а не	5	17
49	уже не	4	16
50	все же	4	16
51	того что	3	16
52	и все	2	16
53	в котором	3	16
54	не есть	2	16
55	до конца	2	15
56	но это	2	15
57	к этому	2	15
58	то же	5	15
59	и к	4	15
60	уже в	2	14
61	все эти	3	14
62	и на	4	14
63	так же	3	13
64	можно сказать	5	13
65	да и	3	13
66	дело в	4	13
67	жизни и	4	13
68	только на	3	12
69	ничего не	2	12
70	в нем	6	12
71	и по	3	12
72	по себе	3	12
73	в отношении	2	11
74	при этом	6	11
75	все это	3	11
76	в данном	2	11
77	хотя бы	5	11
78	и здесь	2	11
79	но что	2	11
80	тому же	2	11
81	в основном	2	11
82	к нему	4	10
83	в ней	6	10
84	еще не	3	10
85	но не	2	10
86	в самом	4	10
87	отнюдь не	5	10
88	с точки	2	10
89	здесь не	3	10
90	с ним	3	10
91	это не	2	9
92	и притом	2	9
93	с другой	4	9
94	что мы	5	9
95	из этого	3	9
96	отношение к	4	8
97	в чем	2	8
98	как бы	13	8
99	с этой	2	8
100	в этих	2	8
101	как в	5	8
102	и для	3	8
103	когда он	3	8
104	конечно не	3	8
105	в каком	3	7
106	к его	2	7
107	за пределы	4	7
108	если бы	9	7
109	но все	2	7
110	в нашем	11	7
111	в них	3	7
112	данном случае	2	6
113	его в	4	6
114	те же	2	6
115	в настоящее	2	6
116	от того	4	6
117	в виду	5	6
118	настоящее время	2	6
119	другой стороны	2	6
120	на него	2	6
121	и вполне	2	6
122	и наконец	3	6
123	такой же	2	6
124	мы не	3	6
125	в жизни	5	6
126	но мы	2	5
127	на все	2	5
128	она не	2	5
129	место в	2	5
130	то ни	3	5
131	бы то	3	5
132	мы имеем	2	5
133	нет ничего	2	5
134	и так	2	5
135	как на	2	5
136	не к	3	5
137	на самом	4	4
138	но для	3	4
139	ясно что	3	4
140	как к	3	4
141	одной стороны	2	4
142	в такой	3	4
143	себя и	2	4
144	но зато	2	4
145	или не	3	4
146	независимо от	2	4
147	не так	2	4
148	но этот	2	4
149	мы можем	2	4
150	в особенности	2	4
151	и другие	2	4
152	с одной	2	4
153	и более	3	4
154	можно найти	2	4
155	же самое	2	4
156	и ее	3	3
157	бы мы	3	3
158	между ними	2	3
159	творца и	7	3
160	точка зрения	3	3
161	самом деле	3	3
162	общего с	2	3
163	его к	2	3
164	что не	4	3
165	является для	2	3
166	и др	5	3
167	одно и	2	3
168	в литературе	4	3
169	отношении к	3	3
170	влияние на	2	3
171	ни на	2	3
172	в какой	2	3
173	оно не	2	3
174	была бы	2	3
175	быть и	3	3
176	еще раз	2	2
177	ни было	4	2
178	с чисто	2	2
179	в момент	2	2
180	в атмосфере	2	2
181	и совершенно	2	2
182	как уже	2	2
183	находит в	2	2
184	стороны и	2	2
185	жизнью и	2	2
186	и те	2	2
187	содержания и	2	2
188	должна быть	5	2
189	известной степени	2	2
190	литературы и	4	2
191	имеет в	3	2
192	с другими	2	2
193	его как	2	2
194	в душе	2	2
195	на это	2	2
196	бы даже	2	2
197	дело с	2	2
198	как не	2	2
199	все они	2	2
200	сих пор	3	2
201	которые мы	2	2
202	и пр	3	2
203	но тем	2	2
204	и является	4	2
205	речи в	2	2
206	есть уже	2	2
207	возможна только	2	2
208	выражение в	2	2
209	тогда когда	2	2
210	этих двух	2	2
211	и уже	3	2
212	в некоторых	3	2
213	в себя	2	2
214	относится к	2	2
215	до сих	3	2
