N	2gram	Propp_Isto	Sotsiolo
1	все это	9	7
2	в том	14	5
3	в этом	19	5
4	для нас	8	3
5	не только	30	3
6	и только	4	3
7	в его	4	3
8	не в	12	3
9	и в	41	3
10	дело не	5	2
11	должна быть	3	2
12	отношению к	3	2
13	по отношению	3	2
14	еще не	13	2
15	только в	10	2
16	что в	21	2
17	тем более	2	2
18	в частности	3	2
19	том что	18	2
20	было бы	4	2
21	таким образом	15	2
22	то же	12	2
23	как будто	4	2
24	и что	15	2
25	как только	5	2
26	то что	12	2
27	как бы	8	2
28	но и	20	2
29	главным образом	3	2
30	в конце	4	2
31	или даже	3	2
32	далеко не	3	2
33	может быть	19	2
34	по существу	5	2
