N	3gram	Vygotskiy_	Vvedenie
1	для того чтобы	20	22
2	в том что	33	15
3	о том что	7	13
4	в этом смысле	5	10
5	не может быть	4	10
6	до сих пор	3	7
7	мере в какой	3	6
8	в этом случае	5	6
9	в той мере	3	6
10	к выводу что	3	6
11	в самом деле	6	6
12	той мере в	3	6
13	вопрос о том	4	5
14	не что иное	2	5
15	во всяком случае	2	5
16	что иное как	2	5
17	на этот вопрос	5	5
18	с другой стороны	8	5
19	в том чтобы	3	5
20	на вопрос о	4	4
21	в данном случае	3	4
22	само по себе	2	4
23	в этом отношении	7	4
24	но все же	2	4
25	с одной стороны	10	4
26	по отношению к	19	4
27	в отличие от	3	4
28	с точки зрения	12	4
29	можно было бы	8	4
30	по сравнению с	9	4
31	вместе с тем	4	3
32	заключается в том	12	3
33	в известном смысле	7	3
34	то же самое	7	3
35	что представляет собой	3	3
36	одной стороны и	2	3
37	как мы видели	4	3
38	есть не что	2	3
39	именно в этом	3	3
40	в зависимости от	2	3
41	можно сказать что	7	3
42	с тем что	3	3
43	в свое время	2	3
44	тех или иных	2	3
45	сама по себе	4	3
46	в собственном смысле	2	3
47	и то что	6	3
48	по самой своей	2	2
49	но вместе с	3	2
50	вообще не может	2	2
51	тем или иным	2	2
52	состоит в том	7	2
53	одной и той	3	2
54	как мы уже	2	2
55	и той же	3	2
56	и что следовательно	2	2
57	подобно тому как	6	2
58	в первом случае	2	2
59	этой точки зрения	7	2
60	с этой точки	7	2
61	в конце концов	2	2
62	принять во внимание	3	2
63	и того же	8	2
64	самой своей природе	2	2
65	потому что он	7	2
66	только в том	2	2
67	одного и того	8	2
68	в другом месте	4	2
69	смысле этого слова	2	2
70	ответ на этот	2	2
71	в связи с	6	2
72	не до конца	2	2
73	в свою очередь	4	2
74	же самое что	2	2
75	по своему значению	2	2
76	не могут быть	3	2
