N	3gram	Losev_Prob	Russkaja
1	в то же	10	10
2	с точки зрения	9	9
3	в том что	17	7
4	для того чтобы	4	6
5	во всяком случае	8	6
6	на самом деле	5	6
7	до сих пор	4	5
8	бы то ни	5	4
9	на то что	2	4
10	более или менее	2	4
11	не может быть	5	4
12	в этом случае	8	3
13	в конце концов	4	3
14	в данном случае	12	3
15	той или иной	16	3
16	и то что	8	3
17	можно было бы	6	3
18	что он не	2	2
19	точно так же	5	2
20	и во всяком	3	2
21	и тем самым	3	2
22	в другом случае	2	2
23	в себе и	2	2
24	того или иного	5	2
25	только в том	2	2
26	в значительной мере	2	2
27	о том что	8	2
28	в настоящее время	4	2
29	сама по себе	11	2
30	друг от друга	3	2
