N	3gram	Bakhtin_Pr	Vvedenie
1	в том что	6	15
2	о том что	3	13
3	в этом смысле	5	10
4	не может быть	8	10
5	тем не менее	2	9
6	до сих пор	8	7
7	в широком смысле	2	7
8	в то же	8	6
9	то же время	8	6
10	с другой стороны	3	5
11	по крайней мере	2	4
12	по отношению к	5	4
13	с точки зрения	13	4
14	можно было бы	2	4
15	по сравнению с	6	4
16	той или иной	2	3
17	большей или меньшей	6	3
18	в строгом смысле	2	3
19	в зависимости от	3	3
20	можно сказать что	6	3
21	в свое время	4	3
22	дело в том	3	3
23	тех или иных	2	3
24	сама по себе	2	3
25	в собственном смысле	3	3
26	но в то	3	3
27	как мы уже	5	2
28	а также и	3	2
29	на этой почве	2	2
30	в соответствии с	2	2
31	а между тем	2	2
32	в известной мере	3	2
33	до наших дней	3	2
34	смысле этого слова	2	2
35	может быть и	2	2
36	хотя бы и	2	2
