N	2gram	Losev_Vlad	Literetu
1	а не	5	50
2	и не	33	47
3	не только	35	46
4	и в	56	44
5	может быть	12	43
6	при этом	5	41
7	но и	26	41
8	в том	26	39
9	в этом	30	38
10	том что	22	32
11	в частности	4	30
12	такого рода	4	30
13	то что	30	29
14	в качестве	7	27
15	в году	54	26
16	то же	10	26
17	как и	7	23
18	в то	15	23
19	в стихотворении	3	23
20	не в	12	22
21	так и	11	22
22	того что	6	22
23	себя в	6	22
24	не может	12	22
25	я и	2	21
26	же время	7	21
27	в себе	5	20
28	прежде всего	5	19
29	я в	4	19
30	как бы	5	18
31	то есть	5	17
32	точки зрения	4	17
33	в его	18	17
34	с другой	3	17
35	в этой	4	16
36	в жизни	4	16
37	тем самым	2	15
38	со стороны	5	15
39	не менее	9	15
40	в целом	3	15
41	я не	8	15
42	только в	11	15
43	что он	22	14
44	и даже	23	14
45	в своем	10	13
46	как это	11	13
47	но не	5	13
48	уже не	6	13
49	и его	12	13
50	к себе	2	12
51	в своей	7	12
52	а также	12	12
53	еще не	2	12
54	одним из	3	12
55	о том	13	12
56	никогда не	15	11
57	это не	3	11
58	еще в	5	11
59	с его	15	11
60	и сам	7	11
61	не столько	4	11
62	как в	6	11
63	а в	20	11
64	или иначе	3	11
65	вместе с	9	11
66	даже в	4	10
67	этом отношении	2	10
68	для себя	6	10
69	в области	3	10
70	что в	24	10
71	так или	3	10
72	отнюдь не	3	10
73	жизни в	3	10
74	из них	3	10
75	и на	7	10
76	потому что	16	10
77	жизни и	8	10
78	к тому	5	9
79	один из	4	9
80	же в	3	9
81	связи с	7	9
82	в начале	7	9
83	лишь в	3	9
84	с этой	4	9
85	что я	5	9
86	вплоть до	4	8
87	в конце	22	8
88	едва ли	3	8
89	все же	11	8
90	по существу	4	8
91	но в	19	8
92	того же	11	8
93	уже в	9	8
94	на себя	3	8
95	не говоря	4	8
96	что не	3	8
97	для него	16	8
98	говоря уже	3	8
99	и я	7	8
100	особого рода	2	8
101	и как	7	8
102	а именно	4	8
103	тем что	2	8
104	в своих	7	8
105	той же	6	8
106	как раз	7	8
107	до конца	8	7
108	для всех	2	7
109	в их	2	7
110	по своей	4	7
111	наконец в	3	7
112	друг друга	3	7
113	и тем	2	7
114	и других	2	7
115	на свою	3	7
116	другой стороны	3	7
117	и для	4	7
118	у нас	11	7
119	именно в	4	7
120	в самом	3	7
121	и с	27	7
122	в одном	2	7
123	он и	8	7
124	в нем	7	7
125	он не	13	7
126	тому же	3	7
127	еще и	10	6
128	его в	3	6
129	уже о	3	6
130	и он	7	6
131	было бы	7	6
132	не было	12	6
133	поэзии и	2	6
134	и то	13	6
135	то в	6	6
136	то и	3	6
137	во всех	4	6
138	и наконец	2	6
139	в ней	5	6
140	у него	28	6
141	как на	2	6
142	как будто	2	6
143	так как	11	5
144	как он	4	5
145	так что	13	5
146	и за	3	5
147	он сам	3	5
148	как я	2	5
149	к этой	4	5
150	несмотря на	7	5
151	что и	6	5
152	тех кто	2	5
153	в сущности	2	5
