N	2gram	Propp_Isto	UchenyiS
1	и в	43	14
2	не только	28	10
3	а не	13	10
4	и не	16	8
5	прежде всего	3	8
6	то что	20	7
7	не может	8	7
8	вот почему	3	7
9	в этом	25	7
10	может быть	22	6
11	и только	6	5
12	то же	11	5
13	хотя бы	3	5
14	все это	4	5
15	но и	24	4
16	в этой	7	4
17	с другой	10	4
18	конечно не	3	4
19	у нас	7	3
20	в частности	6	3
21	не следует	2	3
22	это не	10	3
23	и то	4	3
24	в своей	4	3
25	все же	13	3
26	как и	9	3
27	в то	2	3
28	но в	15	3
29	было бы	5	3
30	другой стороны	10	3
31	в себе	2	2
32	что мы	5	2
33	и у	6	2
34	же не	2	2
35	является в	2	2
36	что он	17	2
37	таким образом	15	2
38	но не	10	2
39	и для	3	2
40	если бы	7	2
41	их и	4	2
42	не все	7	2
43	между тем	2	2
44	только в	8	2
45	одним из	4	2
46	не есть	3	2
47	что она	8	2
48	ничего не	12	2
49	всех этих	3	2
50	и с	10	2
51	не случайно	2	2
52	но конечно	2	2
53	что и	17	2
54	могут быть	9	2
55	смысле этого	3	2
56	превращается в	10	2
57	сих пор	7	2
58	по себе	3	2
59	тем что	8	2
60	том что	12	2
61	а как	2	2
62	в сторону	3	2
63	в его	7	2
64	это уже	3	2
65	в том	13	2
66	как таковой	3	2
67	если не	2	2
68	должна быть	2	2
69	его и	6	2
70	но это	5	2
71	по существу	3	2
72	не в	9	2
73	в некоторых	9	2
74	мы не	3	2
75	до сих	7	2
