N	2gram	Berdyaev_N	Vvedenie
1	в том	8	38
2	в этом	7	35
3	и в	16	35
4	том что	2	30
5	может быть	7	30
6	не только	5	26
7	того чтобы	2	22
8	не может	16	19
9	то что	4	19
10	потому что	4	18
11	о том	4	16
12	и не	11	13
13	что в	9	13
14	в нем	5	13
15	что такое	3	12
16	этом смысле	2	11
17	в ее	3	11
18	вопрос о	3	10
19	не в	6	10
20	прежде всего	4	10
21	но в	2	10
22	но не	2	9
23	не менее	4	9
24	в истории	3	9
25	это не	4	8
26	можно было	2	8
27	с другой	3	8
28	как и	7	7
29	смысле слова	3	7
30	но и	3	7
31	сказать что	3	6
32	том чтобы	2	6
33	хотя бы	2	6
34	и даже	2	6
35	с тем	3	6
36	и это	2	6
37	а в	2	6
38	уже не	2	6
39	могут быть	2	6
40	в то	2	6
41	и что	2	6
42	все это	5	6
43	вместе с	2	6
44	с их	2	5
45	быть в	2	5
46	по своему	4	5
47	как это	2	5
48	культуры в	5	5
49	не есть	3	5
50	другой стороны	2	5
51	в них	4	5
52	а не	17	5
53	хотя и	2	5
54	истории и	9	4
55	одной стороны	2	4
56	должен быть	5	4
57	связана с	2	4
58	еще не	3	4
59	времени и	2	4
60	с одной	2	4
61	к тому	3	4
62	и для	4	4
63	не имеет	4	4
64	в центре	2	4
65	в себе	2	4
66	и заключается	2	4
67	в своей	3	4
68	никогда не	6	3
69	одна из	2	3
70	с этим	2	3
71	которых не	2	3
72	так же	2	3
73	для этого	2	3
74	что она	2	3
75	как в	3	3
76	такого рода	2	3
77	духовной жизни	2	3
78	и на	2	3
79	зависит от	2	3
80	времени в	2	3
81	в ней	5	3
82	и к	5	3
83	мы говорим	2	3
84	совсем не	12	3
85	же как	2	3
86	вот почему	2	3
87	наряду с	3	3
88	все эти	2	3
89	и есть	10	3
90	как будто	2	3
91	природе и	2	2
92	движение от	2	2
93	и потому	4	2
94	во всех	3	2
95	государства и	4	2
96	к самой	2	2
97	все время	2	2
98	должно быть	4	2
99	не существует	3	2
100	в прошлом	3	2
101	мысли и	2	2
102	нашего времени	2	2
103	не могли	2	2
104	истории не	3	2
105	подобно тому	3	2
106	когда мы	2	2
107	так и	2	2
108	ни к	2	2
109	на протяжении	2	2
110	и должно	2	2
111	есть лишь	4	2
112	и творчества	2	2
113	ни одна	2	2
114	и с	2	2
115	истории в	5	2
116	жизни как	2	2
117	но это	6	2
118	тому как	3	2
119	себя в	2	2
120	жизни и	8	2
121	не было	4	2
122	нового типа	2	2
123	познания и	2	2
124	мы не	2	2
125	это есть	7	2
126	должна быть	3	2
127	не к	2	2
128	по существу	2	2
