N	3gram	Medvedev_V	TeoriaLi
1	в том что	5	10
2	по отношению к	7	10
3	в то же	5	8
4	то же время	5	8
5	в конечном счете	5	6
6	с другой стороны	8	6
7	более или менее	6	6
8	для того чтобы	3	5
9	не может быть	8	5
10	с одной стороны	2	3
11	а всего лишь	3	3
12	в том числе	2	3
13	подобно тому как	3	3
14	можно сказать что	4	3
15	в связи с	4	3
16	не только не	2	2
17	в противном случае	2	2
18	этой точки зрения	2	2
19	том числе и	2	2
20	к тому что	4	2
21	и в то	3	2
22	приводит к тому	2	2
23	не могут быть	4	2
