N	2gram	Vygotskiy_	EvropaiC
1	таким образом	30	34
2	в том	44	31
3	и в	33	24
4	том что	41	20
5	все эти	9	19
6	не может	31	18
7	то что	48	18
8	может быть	15	17
9	до сих	3	15
10	все же	5	15
11	сих пор	3	15
12	точки зрения	27	14
13	в этом	43	13
14	все это	2	13
15	в своем	11	12
16	с этим	9	12
17	самом деле	9	12
18	между тем	5	12
19	по отношению	19	11
20	но и	14	11
21	отношению к	19	11
22	не только	28	10
23	так и	8	10
24	во всех	3	10
25	мы знаем	5	10
26	как и	13	10
27	все что	2	10
28	как бы	11	10
29	в результате	9	9
30	друг с	10	9
31	и не	18	9
32	не в	10	9
33	что в	33	9
34	и все	2	9
35	на то	6	9
36	с другом	10	9
37	того же	13	9
38	потому что	40	9
39	при этом	9	9
40	и что	18	9
41	так же	22	8
42	из этих	2	8
43	если бы	13	8
44	для того	20	8
45	к тому	14	8
46	в самом	10	8
47	знаем что	2	8
48	того чтобы	26	8
49	с точки	12	8
50	мы говорили	5	8
51	ясно что	2	8
52	на самом	3	7
53	для этого	3	7
54	о которых	2	7
55	в сознании	5	7
56	так как	20	7
57	в силу	14	7
58	по своей	7	7
59	что он	40	7
60	того что	34	7
61	не менее	4	7
62	о том	13	7
63	из этого	3	7
64	что и	11	7
65	в этой	8	7
66	по существу	5	7
67	что при	4	7
68	вместе с	9	7
69	отличается от	2	6
70	только в	21	6
71	еще не	11	6
72	и при	4	6
73	друг от	5	6
74	так что	8	6
75	в то	5	6
76	должна быть	7	6
77	и для	3	6
78	с другой	11	6
79	говорили выше	2	6
80	от друга	5	6
81	и на	11	6
82	мы можем	15	6
83	несмотря на	3	6
84	тогда как	3	6
85	что с	7	6
86	как на	4	6
87	тому же	3	6
88	с ним	6	6
89	и от	2	5
90	его в	6	5
91	но все	2	5
92	по сравнению	9	5
93	в себе	4	5
94	в состоянии	6	5
95	должно быть	10	5
96	к этому	7	5
97	в которой	8	5
98	на все	7	5
99	и их	4	5
100	из них	6	5
101	по своему	4	5
102	у него	8	5
103	что все	9	5
104	но в	9	5
105	столь же	5	5
106	ступени развития	3	5
107	именно в	8	5
108	а потому	3	5
109	и с	7	5
110	и к	7	5
111	другой стороны	9	5
112	в целом	8	5
113	между двумя	4	5
114	в его	15	5
115	как будто	2	5
116	сравнению с	9	5
117	его собственной	2	5
118	никогда не	10	4
119	и то	9	4
120	в такой	5	4
121	не могут	7	4
122	из того	12	4
123	мы должны	13	4
124	что эта	7	4
125	хотя бы	5	4
126	в конце	3	4
127	отношение к	12	4
128	целый ряд	5	4
129	и т.д	6	4
130	иначе говоря	2	4
131	конце концов	2	4
132	своем развитии	8	4
133	то же	12	4
134	в их	4	4
135	в области	19	4
136	а с	3	4
137	одним из	4	4
138	в виде	3	4
139	совершенно не	5	4
140	что его	2	4
141	между собой	17	4
142	что для	2	4
143	с тем	9	4
144	этом случае	5	4
145	представление об	2	4
146	на вопрос	7	4
147	не есть	4	4
148	из которых	3	4
149	что мы	11	4
150	связи с	9	4
151	этой области	3	4
152	он не	13	4
153	это есть	5	4
154	если мы	9	4
155	мы уже	4	4
156	данном случае	3	3
157	представление о	2	3
158	путем подражания	2	3
159	вопрос о	15	3
160	что их	2	3
161	тем самым	13	3
162	это не	8	3
163	что если	6	3
164	и потому	3	3
165	различия в	2	3
166	не подлежит	2	3
167	от него	3	3
168	в начале	2	3
169	тем более	5	3
170	в настоящее	2	3
171	в тех	2	3
172	бы в	6	3
173	которые не	5	3
174	от того	8	3
175	настоящее время	2	3
176	только что	6	3
177	очевидно что	2	3
178	с этой	8	3
179	в этих	7	3
180	и других	7	3
181	в связи	6	3
182	и наконец	3	3
183	одного и	9	3
184	у нас	4	3
185	прежде всего	5	3
186	отличие от	3	3
187	с одной	10	3
188	образом в	2	3
189	как известно	7	3
190	что только	3	3
191	в жизни	2	3
192	но не	13	3
193	и это	3	3
194	в данном	4	3
195	а в	5	3
