N	2gram	Savitsky_P	UchenyiS
1	и в	14	14
2	не только	17	10
3	а не	2	10
4	и не	12	8
5	прежде всего	3	8
6	то что	4	7
7	не может	4	7
8	в этом	10	7
9	может быть	5	6
10	то же	9	5
11	хотя бы	8	5
12	все это	2	5
13	но и	6	4
14	с другой	5	4
15	в россии	3	4
16	не о	2	3
17	в частности	2	3
18	это не	3	3
19	в то	7	3
20	но в	9	3
21	же время	7	3
22	было бы	6	3
23	в области	11	3
24	в себе	3	2
25	что мы	3	2
26	является в	2	2
27	но не	3	2
28	если бы	4	2
29	более чем	2	2
30	между тем	3	2
31	только в	7	2
32	и с	2	2
33	могут быть	3	2
34	по себе	4	2
35	том что	4	2
36	в его	2	2
37	сводится к	3	2
38	в том	9	2
39	как раз	2	2
40	не в	5	2
41	мы не	3	2
42	не столько	2	2
43	именно как	2	2
