N	3gram	Propp_Isto	DiskursI
1	в том что	4	28
2	по отношению к	2	17
3	с одной стороны	7	14
4	не может быть	6	12
5	в данном случае	2	12
6	о том что	5	9
7	как и в	4	7
8	так и в	2	6
9	подобно тому как	2	5
10	не только в	2	5
11	с другой стороны	10	5
12	тем не менее	6	4
13	не в том	2	4
14	в этом случае	13	4
15	одно и то	2	3
16	и то же	2	3
17	в том числе	3	3
18	том числе и	2	3
19	он не может	2	2
20	в античной греции	3	2
21	на том что	3	2
22	как мы видели	2	2
23	тем что он	3	2
24	это еще не	2	2
25	но и в	2	2
26	но не всегда	2	2
27	и в особенности	2	2
28	здесь как и	2	2
29	и то что	3	2
30	в том чтобы	2	2
