N	2gram	Medvedev_U	Mirosoze
1	и в	14	97
2	может быть	6	64
3	не только	10	63
4	в этом	7	55
5	но и	4	54
6	а не	10	53
7	не может	7	49
8	и не	8	39
9	не в	2	34
10	для него	3	31
11	не есть	2	30
12	прежде всего	8	29
13	как и	3	29
14	но в	3	27
15	в своей	3	25
16	у нас	3	24
17	что он	2	22
18	в самом	2	21
19	в себе	2	20
20	в россии	4	19
21	в его	2	18
22	в том	2	16
23	том что	2	16
24	то что	7	16
25	было бы	3	16
26	в этой	4	15
27	в конце	2	14
28	это не	3	12
29	и у	2	12
30	все это	5	12
31	но не	2	12
32	но это	2	11
33	хотя бы	5	11
34	только в	2	11
35	и для	2	11
36	не могут	2	10
37	должна быть	2	10
38	то же	5	10
39	бы и	2	9
40	что и	2	9
41	ничего не	2	8
42	с его	2	8
43	тем что	2	8
44	и с	2	8
45	более чем	2	7
46	что все	2	7
47	что она	2	7
48	не как	3	6
49	если бы	2	6
50	в то	3	5
51	в их	4	5
52	вопроса о	2	5
53	для этого	3	5
54	его и	2	5
55	сих пор	2	5
56	до сих	2	5
57	и через	2	4
58	конце концов	2	4
59	могут быть	2	4
60	не все	2	4
61	вряд ли	3	4
62	и только	5	4
63	мы не	2	4
64	нас в	2	4
65	не случайно	2	4
66	о чем	2	3
67	является в	2	3
68	одним из	2	3
69	все же	3	3
70	это уже	2	3
71	даже и	2	3
72	между тем	2	3
73	литературы и	2	3
74	и то	3	3
75	конечно не	4	3
76	превращается в	2	3
77	их и	2	3
78	не о	3	2
79	пишет он	2	2
80	а как	2	2
81	самом деле	2	2
82	смысле этого	2	2
83	могли бы	2	2
84	не столько	2	2
85	же не	2	2
86	вот почему	7	2
87	это было	2	2
88	этом отношении	2	2
89	с другой	4	2
90	что такое	4	2
91	если не	2	2
92	что мы	2	2
93	по себе	2	2
