N	2gram	Losev_Dial	NovoeSre
1	а не	39	17
2	и в	34	16
3	не может	29	16
4	нового времени	2	12
5	и не	50	11
6	и есть	24	10
7	истории и	6	9
8	что в	12	9
9	жизни и	8	8
10	как не	4	8
11	в том	17	8
12	он не	8	8
13	не будет	5	7
14	может быть	30	7
15	как и	14	7
16	в этом	14	7
17	это есть	19	7
18	культуры и	2	7
19	никогда не	9	6
20	ни в	20	6
21	не в	11	6
22	не знает	4	6
23	от бога	2	6
24	но это	10	6
25	с его	7	6
26	не только	35	5
27	в жизни	4	5
28	все это	13	5
29	в нем	7	5
30	с ее	10	5
31	в ней	4	5
32	и к	5	5
33	должно быть	7	4
34	по своему	2	4
35	в них	6	4
36	и для	5	4
37	не имеет	18	4
38	прежде всего	20	4
39	не менее	11	4
40	не было	6	4
41	и потому	6	4
42	и мы	6	4
43	перестает быть	2	4
44	то что	25	4
45	о том	11	4
46	это не	13	4
47	потому что	21	4
48	и все	17	4
49	быть может	3	4
50	значит что	29	4
51	в мире	2	3
52	тому как	5	3
53	но и	14	3
54	подобно тому	5	3
55	с другой	5	3
56	не значит	5	3
57	в ее	5	3
58	она не	10	3
59	духа и	2	3
60	к тому	4	3
61	к ее	2	3
62	и пр	16	3
63	что такое	25	3
64	в своей	4	3
65	еще не	7	3
66	история в	2	3
67	в истории	7	3
68	человека и	2	3
69	должна быть	11	3
70	как в	2	3
71	конечно не	6	3
72	не есть	95	3
73	за пределы	3	3
74	сказать что	7	3
75	во всех	2	3
76	вопрос о	9	3
77	это было	5	3
78	не существует	10	3
79	истории не	2	3
80	в основе	6	3
81	с тем	4	3
82	верить в	2	3
83	время как	6	2
84	зависит от	4	2
85	в себе	8	2
86	что она	13	2
87	как будто	3	2
88	и с	10	2
89	одна из	4	2
90	для этого	3	2
91	себя в	3	2
92	но не	3	2
93	нет и	5	2
94	что все	16	2
95	думать что	3	2
96	и от	4	2
97	сама жизнь	3	2
98	и это	12	2
99	хотя бы	9	2
100	когда мы	3	2
101	же как	4	2
102	свободы и	4	2
103	из ее	3	2
104	от религии	2	2
105	а в	3	2
106	все время	4	2
107	и социализм	2	2
108	но в	3	2
109	том что	18	2
110	мир и	6	2
111	можно назвать	3	2
112	и на	6	2
113	с этим	4	2
114	бытия в	2	2
115	в природе	5	2
116	есть в	4	2
117	и что	21	2
118	все эти	4	2
119	я уже	9	2
120	мы не	11	2
121	в смысле	4	2
122	вот почему	3	2
123	не имеют	2	2
124	истории мы	4	2
125	это и	12	2
126	мира и	3	2
127	у него	2	2
128	равно как	2	2
129	от всякого	5	2
130	уже не	9	2
131	по существу	2	2
132	с их	4	2
133	как это	8	2
134	другой стороны	4	2
135	призыв к	2	2
136	так же	7	2
137	так и	11	2
138	ни к	3	2
139	в религии	6	2
140	личность в	3	2
141	помнить что	2	2
142	нем нет	3	2
143	могут быть	5	2
144	но для	3	2
145	одной стороны	3	2
146	быть в	4	2
147	но она	4	2
148	если нет	6	2
149	в то	9	2
150	познания и	2	2
151	хотя и	9	2
152	мы говорим	4	2
153	с одной	4	2
154	и формы	2	2
155	но я	2	2
156	место в	2	2
157	и даже	21	2
158	более не	2	2
159	ведь и	3	2
160	вместе с	3	2
161	я не	11	2
