N	3gram	Propp_Isto	Tvorches
1	и т д	35	17
2	в том что	6	11
3	о том что	5	8
4	не может быть	8	6
5	по отношению к	6	5
6	с самого начала	4	4
7	до сих пор	11	4
8	дело в том	3	4
9	точно так же	8	3
10	дело не в	2	3
11	с другой стороны	7	3
12	в отличие от	3	3
13	что он не	4	2
14	не означает что	2	2
15	на самом деле	2	2
16	тем не менее	7	2
17	на этот вопрос	2	2
18	потому что он	2	2
19	не только в	5	2
20	в связи с	5	2
21	может быть назван	2	2
22	вместе с тем	7	2
23	так же как	6	2
24	а может быть	2	2
25	влечет за собой	2	2
26	все же не	2	2
27	в й главе	2	2
