N	3gram	Potebnia_M	formyVre
1	и т п	4	32
2	то же время	3	21
3	в то же	3	18
4	в связи с	2	15
5	с точки зрения	3	15
6	для того чтобы	4	12
7	но и в	4	12
8	не только в	3	11
9	до сих пор	5	10
10	одного и того	6	9
11	и того же	6	9
12	и т д	6	7
13	не может быть	11	7
14	с одной стороны	6	6
15	друг от друга	3	6
16	и в этом	7	6
17	в том что	18	5
18	как и в	3	5
19	в то время	3	5
20	то есть не	3	5
21	одной стороны и	2	5
22	друг на друга	2	4
23	и во всех	2	4
24	с другой стороны	7	4
25	но все же	2	4
26	во всяком случае	7	4
27	по отношению к	13	4
28	все то что	2	3
29	и как бы	4	3
30	так и в	5	3
31	как бы ни	4	3
32	от прикосновения к	2	3
33	с самого начала	5	3
34	может быть только	2	3
35	сами по себе	8	3
36	что в таком	2	2
37	не было бы	3	2
38	к тому что	2	2
39	все более и	2	2
40	с тем что	4	2
41	дело в том	3	2
42	что и в	4	2
43	не только для	2	2
44	могут быть названы	3	2
45	более и более	2	2
46	в свою очередь	8	2
